Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPTarget,YdsPRec,Rush,Fum,Lost,FantasyPts
2016,REG,1,Larry Fitzgerald,WR,1,ARI,NE,10,8,80,0,0,21,8,10,0,0,0,28.1
2016,REG,2,John Brown,WR,4,ARI,LAR,16,10,63,0,0,29,9,14,0,0,0,27.4
2016,REG,3,Larry Fitzgerald,WR,5,ARI,SF,8,6,75,0,0,29,10,14,0,0,0,26.1
2016,REG,4,Larry Fitzgerald,WR,2,ARI,TB,10,5,50,4,0,25,8,15,1,0,0,19.1
2016,REG,5,Jaron Brown,WR,2,ARI,TB,2,2,100,0,0,51,39,39,0,0,0,15.8
2016,REG,6,John Brown,WR,3,ARI,BUF,11,6,55,0,0,19,6,12,0,0,0,13
2016,REG,7,Larry Fitzgerald,WR,3,ARI,BUF,12,7,58,0,0,13,5,9,0,0,0,13
2016,REG,8,Michael Floyd,WR,4,ARI,LAR,7,3,43,0,0,16,5,12,0,0,0,12.6
2016,REG,9,Larry Fitzgerald,WR,4,ARI,LAR,7,5,71,1,0,15,9,12,1,0,0,11.3
2016,REG,10,Michael Floyd,WR,3,ARI,BUF,11,4,36,0,0,25,6,16,0,0,0,10.5
2016,REG,11,Michael Floyd,WR,1,ARI,NE,7,3,43,0,0,39,9,20,0,0,0,9.1
2016,REG,12,Michael Floyd,WR,2,ARI,TB,6,2,33,0,0,7,1,4,0,0,0,8.8
2016,REG,13,Jaron Brown,WR,3,ARI,BUF,6,3,50,0,0,23,8,16,0,0,0,7.9
2016,REG,14,JJ Nelson,WR,4,ARI,LAR,1,1,100,0,0,24,24,24,0,0,0,3.4
2016,REG,15,Jaron Brown,WR,1,ARI,NE,2,1,50,0,0,18,9,18,0,0,0,2.8
2016,REG,16,John Brown,WR,2,ARI,TB,3,1,33,0,0,14,5,14,0,0,0,2.4
2016,REG,17,JJ Nelson,WR,1,ARI,NE,2,1,50,0,0,11,6,11,0,0,0,2.1
2016,REG,18,John Brown,WR,5,ARI,SF,4,1,25,0,0,11,3,11,0,1,0,2.1
2016,REG,19,John Brown,WR,1,ARI,NE,4,1,25,0,0,8,2,8,0,0,0,1.8
2016,REG,20,Jaron Brown,WR,4,ARI,LAR,5,1,20,0,0,7,1,7,0,0,0,1.7
2016,REG,21,JJ Nelson,WR,3,ARI,BUF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,Ifeanyi Momah,WR,4,ARI,LAR,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,23,Michael Floyd,WR,5,ARI,SF,3,0,0,0,0,0,0,0,0,0,0,0
2016,REG,24,Ifeanyi Momah,WR,5,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,25,Jaron Brown,WR,5,ARI,SF,3,0,0,0,0,0,0,0,0,0,0,0
2016,REG,26,Brittan Golden,WR,5,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,27,JJ Nelson,WR,5,ARI,SF,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,1,Julio Jones,WR,4,ATL,CAR,15,12,80,0,0,75,20,25,0,0,0,51
2016,REG,2,Julio Jones,WR,2,ATL,OAK,5,5,100,0,0,48,21,21,0,0,0,24.6
2016,REG,3,Mohamed Sanu,WR,1,ATL,TB,8,5,63,0,0,59,10,16,0,0,0,21
2016,REG,4,Julio Jones,WR,1,ATL,TB,8,4,50,0,0,25,8,17,0,0,0,16.6
2016,REG,5,Aldrick Robinson,WR,4,ATL,CAR,3,2,67,0,0,35,16,24,0,0,0,12.8
2016,REG,6,Justin Hardy,WR,3,ATL,NO,2,2,100,0,0,22,13,13,0,0,0,10.6
2016,REG,7,Taylor Gabriel,WR,4,ATL,CAR,3,3,100,0,0,19,16,16,0,0,0,7.9
2016,REG,8,Justin Hardy,WR,2,ATL,OAK,3,1,33,0,0,8,3,8,0,0,0,7.8
2016,REG,9,Aldrick Robinson,WR,2,ATL,OAK,4,3,75,0,0,20,10,13,0,0,0,6.9
2016,REG,10,Mohamed Sanu,WR,5,ATL,DEN,6,3,50,0,0,22,7,14,0,1,1,6.3
2016,REG,11,Mohamed Sanu,WR,3,ATL,NO,4,3,75,0,0,16,8,10,0,0,0,6.1
2016,REG,12,Taylor Gabriel,WR,3,ATL,NO,3,2,67,0,0,19,11,17,0,0,0,5.3
2016,REG,13,Julio Jones,WR,5,ATL,DEN,6,2,33,0,0,20,5,15,0,0,0,4.9
2016,REG,14,Mohamed Sanu,WR,2,ATL,OAK,5,3,60,0,0,15,4,6,0,0,0,4.9
