Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,1,Larry Fitzgerald,WR,1,ARI,NE,10,8,80,81,2,21,8,10,0,0,0,0,0,24.10
2016,REG,2,Larry Fitzgerald,WR,5,ARI,SF,8,6,75,81,2,29,10,14,0,0,0,0,0,23.10
2016,REG,3,John Brown,WR,4,ARI,LAR,16,10,63,144,0,29,9,14,0,0,0,0,0,19.40
2016,REG,4,Larry Fitzgerald,WR,2,ARI,TB,10,5,50,77,1,25,8,15,1,4,0,0,0,16.60
2016,REG,5,Jaron Brown,WR,2,ARI,TB,2,2,100,78,1,51,39,39,0,0,0,0,0,14.80
2016,REG,6,Michael Floyd,WR,4,ARI,LAR,7,3,43,36,1,16,5,12,0,0,0,0,0,11.10
2016,REG,7,John Brown,WR,3,ARI,BUF,11,6,55,70,0,19,6,12,0,0,0,0,0,10.00
2016,REG,8,Larry Fitzgerald,WR,3,ARI,BUF,12,7,58,60,0,13,5,9,0,0,0,0,0,9.50
2016,REG,9,Larry Fitzgerald,WR,4,ARI,LAR,7,5,71,62,0,15,9,12,1,1,0,0,0,8.80
2016,REG,10,Michael Floyd,WR,3,ARI,BUF,11,4,36,65,0,25,6,16,0,0,0,0,0,8.50
2016,REG,11,Michael Floyd,WR,2,ARI,TB,6,2,33,8,1,7,1,4,0,0,0,0,0,7.80
2016,REG,12,Michael Floyd,WR,1,ARI,NE,7,3,43,61,0,39,9,20,0,0,0,0,0,7.60
2016,REG,13,Jaron Brown,WR,3,ARI,BUF,6,3,50,49,0,23,8,16,0,0,0,0,0,6.40
2016,REG,14,JJ Nelson,WR,4,ARI,LAR,1,1,100,24,0,24,24,24,0,0,0,0,0,2.90
2016,REG,15,Jaron Brown,WR,1,ARI,NE,2,1,50,18,0,18,9,18,0,0,0,0,0,2.30
2016,REG,16,John Brown,WR,2,ARI,TB,3,1,33,14,0,14,5,14,0,0,0,0,0,1.90
2016,REG,17,JJ Nelson,WR,1,ARI,NE,2,1,50,11,0,11,6,11,0,0,0,0,0,1.60
2016,REG,18,John Brown,WR,5,ARI,SF,4,1,25,11,0,11,3,11,0,0,0,1,0,1.60
2016,REG,19,John Brown,WR,1,ARI,NE,4,1,25,8,0,8,2,8,0,0,0,0,0,1.30
2016,REG,20,Jaron Brown,WR,4,ARI,LAR,5,1,20,7,0,7,1,7,0,0,0,0,0,1.20
2016,REG,21,JJ Nelson,WR,3,ARI,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Ifeanyi Momah,WR,4,ARI,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Michael Floyd,WR,5,ARI,SF,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,24,Ifeanyi Momah,WR,5,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,25,Jaron Brown,WR,5,ARI,SF,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,26,Brittan Golden,WR,5,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,27,JJ Nelson,WR,5,ARI,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Julio Jones,WR,4,ATL,CAR,15,12,80,300,1,75,20,25,0,0,0,0,0,42.00
2016,REG,2,Julio Jones,WR,2,ATL,OAK,5,5,100,106,1,48,21,21,0,0,0,0,0,19.10
2016,REG,3,Mohamed Sanu,WR,1,ATL,TB,8,5,63,80,1,59,10,16,0,0,0,0,0,18.50
2016,REG,4,Julio Jones,WR,1,ATL,TB,8,4,50,66,1,25,8,17,0,0,0,0,0,14.60
2016,REG,5,Aldrick Robinson,WR,4,ATL,CAR,3,2,67,48,1,35,16,24,0,0,0,0,0,11.80
2016,REG,6,Justin Hardy,WR,3,ATL,NO,2,2,100,26,1,22,13,13,0,0,0,0,0,9.60
2016,REG,7,Justin Hardy,WR,2,ATL,OAK,3,1,33,8,1,8,3,8,0,0,0,0,0,7.30
2016,REG,8,Taylor Gabriel,WR,4,ATL,CAR,3,3,100,49,0,19,16,16,0,0,0,0,0,6.40
2016,REG,9,Aldrick Robinson,WR,2,ATL,OAK,4,3,75,39,0,20,10,13,0,0,0,0,0,5.40
2016,REG,10,Mohamed Sanu,WR,3,ATL,NO,4,3,75,31,0,16,8,10,0,0,0,0,0,4.60
2016,REG,11,Taylor Gabriel,WR,3,ATL,NO,3,2,67,33,0,19,11,17,0,0,0,0,0,4.30
2016,REG,12,Julio Jones,WR,5,ATL,DEN,6,2,33,29,0,20,5,15,0,0,0,0,0,3.90
2016,REG,13,Mohamed Sanu,WR,5,ATL,DEN,6,3,50,43,0,22,7,14,0,0,0,1,1,3.80
2016,REG,14,Mohamed Sanu,WR,2,ATL,OAK,5,3,60,19,0,15,4,6,0,0,0,0,0,3.40
2016,REG,15,Mohamed Sanu,WR,4,ATL,CAR,3,2,67,22,0,18,7,11,0,0,0,0,0,3.20
2016,REG,16,Taylor Gabriel,WR,2,ATL,OAK,2,2,100,19,0,11,10,10,0,0,0,0,0,2.90
2016,REG,17,Julio Jones,WR,3,ATL,NO,7,1,14,16,0,16,2,16,0,0,0,0,0,2.10
2016,REG,18,Aldrick Robinson,WR,3,ATL,NO,2,1,50,4,0,4,2,4,0,0,0,0,0,0.90
2016,REG,19,Justin Hardy,WR,1,ATL,TB,2,1,50,0,0,0,0,0,0,0,0,0,0,0.50
2016,REG,20,Eric Weems,WR,1,ATL,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Aldrick Robinson,WR,1,ATL,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Eric Weems,WR,2,ATL,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Eric Weems,WR,3,ATL,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,24,Eric Weems,WR,4,ATL,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,25,Justin Hardy,WR,4,ATL,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,26,Eric Weems,WR,5,ATL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,27,Aldrick Robinson,WR,5,ATL,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,28,Taylor Gabriel,WR,5,ATL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,29,Justin Hardy,WR,5,ATL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Steve Smith,WR,4,BAL,OAK,11,8,73,111,1,52,10,14,0,0,0,0,0,21.10
2016,REG,2,Mike Wallace,WR,2,BAL,CLE,6,4,67,41,2,17,7,10,0,0,0,0,0,18.10
2016,REG,3,Mike Wallace,WR,1,BAL,BUF,6,3,50,91,1,66,15,30,1,11,0,0,0,17.70
2016,REG,4,Steve Smith,WR,3,BAL,JAX,11,8,73,87,0,23,8,11,0,0,0,0,0,12.70
2016,REG,5,Mike Wallace,WR,5,BAL,WAS,11,7,64,63,0,13,6,9,0,0,0,0,0,9.80
2016,REG,6,Mike Wallace,WR,4,BAL,OAK,9,4,44,44,0,17,5,11,1,3,0,0,0,8.70
2016,REG,7,Steve Smith,WR,2,BAL,CLE,6,3,50,64,0,31,11,21,0,0,0,0,0,7.90
2016,REG,8,Mike Wallace,WR,3,BAL,JAX,6,3,50,34,0,15,6,11,1,5,0,0,0,5.40
2016,REG,9,Steve Smith,WR,5,BAL,WAS,3,3,100,29,0,15,10,10,0,0,0,0,0,4.40
2016,REG,10,Steve Smith,WR,1,BAL,BUF,8,5,63,19,0,6,2,4,0,0,0,0,0,4.40
2016,REG,11,Breshad Perriman,WR,2,BAL,CLE,5,2,40,32,0,20,6,16,0,0,0,0,0,4.20
2016,REG,12,Breshad Perriman,WR,1,BAL,BUF,2,1,50,35,0,35,18,35,0,0,0,0,0,4.00
2016,REG,13,Breshad Perriman,WR,4,BAL,OAK,5,3,60,24,0,15,5,8,0,0,0,0,0,3.90
