Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,YdsPerAtt,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2016,REG,1,David Johnson,RB,5,ARI,SF,27,157,6,2,6,3,28,0,1,0,32.00
2016,REG,2,David Johnson,RB,3,ARI,BUF,19,83,4,2,6,3,28,0,0,0,24.60
2016,REG,3,David Johnson,RB,1,ARI,NE,16,89,6,1,6,4,43,0,0,0,21.20
2016,REG,4,David Johnson,RB,2,ARI,TB,12,45,4,0,5,3,98,0,0,0,15.80
2016,REG,5,David Johnson,RB,4,ARI,LAR,17,83,5,0,4,4,41,0,1,1,12.40
2016,REG,6,Chris Johnson,RB,2,ARI,TB,16,54,3,1,0,0,0,0,0,0,11.40
2016,REG,7,Chris Johnson,RB,4,ARI,LAR,6,34,6,0,1,0,0,0,0,0,3.40
2016,REG,8,Andre Ellington,RB,5,ARI,SF,6,19,3,0,0,0,0,0,0,0,1.90
2016,REG,9,Andre Ellington,RB,1,ARI,NE,0,0,0,0,2,2,8,0,0,0,1.80
2016,REG,10,Andre Ellington,RB,2,ARI,TB,1,2,2,0,1,1,9,0,0,0,1.60
2016,REG,11,Andre Ellington,RB,4,ARI,LAR,1,0,0,0,1,1,4,0,0,0,0.90
2016,REG,12,Chris Johnson,RB,3,ARI,BUF,2,5,3,0,0,0,0,0,0,0,0.50
2016,REG,13,Chris Johnson,RB,1,ARI,NE,1,2,2,0,0,0,0,0,0,0,0.20
2016,REG,14,Stepfan Taylor,RB,2,ARI,TB,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Andre Ellington,RB,3,ARI,BUF,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Stepfan Taylor,RB,3,ARI,BUF,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,Stepfan Taylor,RB,4,ARI,LAR,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Stepfan Taylor,RB,5,ARI,SF,2,-2,-1,0,0,0,0,0,0,0,-0.20
2016,REG,1,Devonta Freeman,RB,3,ATL,NO,14,152,11,0,5,5,55,1,0,0,29.20
2016,REG,2,Tevin Coleman,RB,3,ATL,NO,12,42,4,3,3,3,47,0,0,0,28.40
2016,REG,3,Tevin Coleman,RB,5,ATL,DEN,6,31,5,0,6,4,132,1,0,0,24.30
2016,REG,4,Devonta Freeman,RB,5,ATL,DEN,23,88,4,1,5,3,35,0,0,0,19.80
2016,REG,5,Tevin Coleman,RB,1,ATL,TB,8,22,3,0,6,5,95,0,0,0,14.20
2016,REG,6,Tevin Coleman,RB,2,ATL,OAK,12,46,4,1,2,2,25,0,0,0,14.10
2016,REG,7,Devonta Freeman,RB,4,ATL,CAR,13,57,4,1,3,2,7,0,0,0,13.40
2016,REG,8,Devonta Freeman,RB,2,ATL,OAK,17,93,6,0,0,0,0,0,0,0,9.30
2016,REG,9,Devonta Freeman,RB,1,ATL,TB,11,20,2,0,4,4,20,0,0,0,6.00
2016,REG,10,Tevin Coleman,RB,4,ATL,CAR,8,19,2,0,4,3,14,0,0,0,4.80
2016,REG,11,Patrick DiMarco,RB,4,ATL,CAR,0,0,0,0,2,1,18,0,0,0,2.30
2016,REG,12,Patrick DiMarco,RB,5,ATL,DEN,0,0,0,0,1,1,13,0,0,0,1.80
2016,REG,13,Patrick DiMarco,RB,1,ATL,TB,0,0,0,0,1,1,8,0,0,0,1.30
2016,REG,14,Patrick DiMarco,RB,2,ATL,OAK,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Patrick DiMarco,RB,3,ATL,NO,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Terrance West,RB,4,BAL,OAK,21,113,5,1,0,0,0,0,1,0,17.30
2016,REG,2,Terrance West,RB,5,BAL,WAS,11,95,9,0,3,2,-6,0,0,0,9.90
2016,REG,3,Kyle Juszczyk,RB,4,BAL,OAK,0,0,0,0,7,6,56,0,0,0,8.60
2016,REG,4,Justin Forsett,RB,1,BAL,BUF,10,41,4,0,2,2,15,0,0,0,6.60
2016,REG,5,Terrance West,RB,2,BAL,CLE,11,42,4,0,3,1,15,0,0,0,6.20
2016,REG,6,Justin Forsett,RB,3,BAL,JAX,7,20,3,0,7,6,12,0,0,0,6.20
2016,REG,7,Justin Forsett,RB,2,BAL,CLE,14,37,3,0,5,3,9,0,0,0,6.10
2016,REG,8,Terrance West,RB,3,BAL,JAX,10,45,5,0,1,1,8,0,0,0,5.80
2016,REG,9,Terrance West,RB,1,BAL,BUF,12,32,3,0,2,2,6,0,0,0,4.80
2016,REG,10,Javorius Allen,RB,4,BAL,OAK,3,13,4,0,3,2,15,0,0,0,3.80
