Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,1,Jermaine Gresham,TE,1,ARI,NE,4,4,100,41,0,15,10,10,0,0,0,0,0,6.10
2016,REG,2,Darren Fells,TE,2,ARI,TB,5,4,80,31,0,11,6,8,0,0,0,0,0,5.10
2016,REG,3,Darren Fells,TE,3,ARI,BUF,2,2,100,15,0,8,8,8,0,0,0,0,0,2.50
2016,REG,4,Darren Fells,TE,4,ARI,LAR,2,2,100,7,0,5,4,4,0,0,0,0,0,1.70
2016,REG,5,Jermaine Gresham,TE,5,ARI,SF,1,1,100,4,0,4,4,4,0,0,0,0,0,0.90
2016,REG,6,Troy Niklas,TE,3,ARI,BUF,1,1,100,0,0,0,0,0,0,0,0,0,0,0.50
2016,REG,7,Darren Fells,TE,1,ARI,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,8,Troy Niklas,TE,1,ARI,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Jermaine Gresham,TE,2,ARI,TB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Troy Niklas,TE,2,ARI,TB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Jermaine Gresham,TE,3,ARI,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Jermaine Gresham,TE,4,ARI,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Hakeem Valles,TE,5,ARI,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Jacob Tamme,TE,2,ATL,OAK,8,5,63,75,1,19,9,15,0,0,0,0,0,16.00
2016,REG,2,Austin Hooper,TE,4,ATL,CAR,1,1,100,42,1,42,42,42,0,0,0,0,0,10.70
2016,REG,3,Austin Hooper,TE,2,ATL,OAK,3,3,100,84,0,44,28,28,0,0,0,0,0,9.90
2016,REG,4,Jacob Tamme,TE,1,ATL,TB,8,6,75,51,0,19,6,9,0,0,0,0,0,8.10
2016,REG,5,Jacob Tamme,TE,4,ATL,CAR,2,2,100,3,1,4,2,2,0,0,0,0,0,7.30
2016,REG,6,Jacob Tamme,TE,3,ATL,NO,4,3,75,28,0,15,7,9,0,0,0,0,0,4.30
