QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,TE,Rob Gronkowski (9768292),Rob Gronkowski,9768292,TE,7600,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,QB,Tom Brady (9768264),Tom Brady,9768264,QB,7300,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,RB,Christian McCaffrey (9768384),Christian McCaffrey,9768384,RB,7200,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,QB,Cam Newton (9768291),Cam Newton,9768291,QB,6600,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Demaryius Thomas (9768287),Demaryius Thomas,9768287,WR,6500,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Jarvis Landry (9768336),Jarvis Landry,9768336,WR,6400,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Brandin Cooks (9768356),Brandin Cooks,9768356,WR,6300,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,WR,DeVante Parker (9768344),DeVante Parker,9768344,WR,6200,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Devin Funchess (9768368),Devin Funchess,9768368,WR,6100,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Chris Hogan (9768334),Chris Hogan,9768334,WR,5800,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,WR,Danny Amendola (9768274),Danny Amendola,9768274,WR,5500,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,WR,Emmanuel Sanders (9768285),Emmanuel Sanders,9768285,WR,5400,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,QB,Jay Cutler (9768265),Jay Cutler,9768265,QB,5400,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,QB,Derek Anderson (9768266),Derek Anderson,9768266,QB,5300,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,QB,Brian Hoyer (9768276),Brian Hoyer,9768276,QB,4900,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,RB,Kenyan Drake (9768366),Kenyan Drake,9768366,RB,4900,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,QB,Matt Moore (9768267),Matt Moore,9768267,QB,4800,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,RB,Damien Williams (9768363),Damien Williams,9768363,RB,4700,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,QB,Brock Osweiler (9768308),Brock Osweiler,9768308,QB,4600,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,QB,Trevor Siemian (9768321),Trevor Siemian,9768321,QB,4600,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,QB,Paxton Lynch (9768365),Paxton Lynch,9768365,QB,4600,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,TE,Greg Olsen (9768270),Greg Olsen,9768270,TE,4600,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,RB,James White (9768328),James White,9768328,RB,4500,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,WR,Kenny Stills (9768317),Kenny Stills,9768317,WR,4200,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,RB,Dion Lewis (9768306),Dion Lewis,9768306,RB,4100,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,WR,Phillip Dorsett (9768340),Phillip Dorsett,9768340,WR,4000,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,RB,C.J. Anderson (9768354),C.J. Anderson,9768354,RB,4000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,QB,Chad Kelly (9768362),Chad Kelly,9768362,QB,4000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,QB,Garrett Gilbert (9768311),Garrett Gilbert,9768311,QB,4000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,QB,David Fales (9768316),David Fales,9768316,QB,4000,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,RB,Jamaal Charles (9768281),Jamaal Charles,9768281,RB,3900,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Malcolm Mitchell (9768352),Malcolm Mitchell,9768352,WR,3800,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,DST,Panthers  (9768263),Panthers ,9768263,DST,3800,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,RB,Devontae Booker (9768378),Devontae Booker,9768378,RB,3700,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Curtis Samuel (9768380),Curtis Samuel,9768380,WR,3700,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,RB,Rex Burkhead (9768309),Rex Burkhead,9768309,RB,3600,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,DST,Patriots  (9768262),Patriots ,9768262,DST,3500,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,RB,De'Angelo Henderson (9768346),De'Angelo Henderson,9768346,RB,3500,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Bennie Fowler (9768314),Bennie Fowler,9768314,WR,3400,NE@DEN 11/12/2017 08:30PM ET,DEN,
