"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21842-30447","RB","Todd","Todd Gurley II","Gurley II","21.612499237060547","8","9600","HOU@LAR","LAR","HOU","","","",""
"21842-28181","RB","Le'Veon","Le'Veon Bell","Bell","17.924999237060547","8","9400","PIT@IND","PIT","IND","","","",""
"21842-11612","WR","Antonio","Antonio Brown","Brown","16.25","8","9300","PIT@IND","PIT","IND","","","",""
"21842-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","20.100000381469727","8","8900","DAL@ATL","DAL","ATL","","","",""
"21842-31716","QB","Dak","Dak Prescott","Prescott","22.02750015258789","8","8800","DAL@ATL","DAL","ATL","","","",""
"21842-52922","RB","Leonard","Leonard Fournette","Fournette","20.4499994913737","6","8700","LAC@JAC","JAC","LAC","","","",""
"21842-6498","QB","Tom","Tom Brady","Brady","20.55500030517578","8","8500","NE@DEN","NE","DEN","","","",""
"21842-6504","QB","Drew","Drew Brees","Brees","17.857500076293945","8","8500","NO@BUF","NO","BUF","","","",""
"21842-6779","RB","LeSean","LeSean McCoy","McCoy","14.225000381469727","8","8300","NO@BUF","BUF","NO","","","",""
"21842-6654","QB","Matthew","Matthew Stafford","Stafford","17.65999984741211","8","8200","CLE@DET","DET","CLE","","","",""
"21842-38435","QB","Jared","Jared Goff","Goff","17.212499618530273","8","8200","HOU@LAR","LAR","HOU","","","",""
"21842-11460","TE","Rob","Rob Gronkowski","Gronkowski","13.985714503696986","7","8100","NE@DEN","NE","DEN","","","",""
"21842-14190","WR","Julio","Julio Jones","Jones","11.662500381469727","8","8000","DAL@ATL","ATL","DAL","Q","Lower leg","",""
"21842-14187","WR","A.J.","A.J. Green","Green","12.412500381469727","8","7900","CIN@TEN","CIN","TEN","","","",""
"21842-14377","QB","Tyrod","Tyrod Taylor","Taylor","16.764999389648438","8","7800","NO@BUF","BUF","NO","","","",""
"21842-6616","QB","Matt","Matt Ryan","Ryan","15.647500038146973","8","7700","DAL@ATL","ATL","DAL","","","",""
