"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21947-70324","QB","Carson","Carson Wentz","Wentz","22.064444647894966","9","8700","PHI@DAL","PHI","DAL","","","",""
"21947-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","20.100000381469727","8","8600","PHI@DAL","DAL","PHI","O","Suspension","",""
"21947-31716","QB","Dak","Dak Prescott","Prescott","21.051111857096355","9","8500","PHI@DAL","DAL","PHI","","","",""
"21947-22015","QB","Russell","Russell Wilson","Wilson","22.968889024522568","9","8400","ATL@SEA","SEA","ATL","","","",""
"21947-14626","WR","Doug","Doug Baldwin","Baldwin","12.222222222222221","9","8100","ATL@SEA","SEA","ATL","Q","Groin","",""
"21947-29780","TE","Zach","Zach Ertz","Ertz","13.537500381469727","8","8000","PHI@DAL","PHI","DAL","Q","Hamstring","",""
"21947-14190","WR","Julio","Julio Jones","Jones","11.333333333333334","9","7700","ATL@SEA","ATL","SEA","","","",""
"21947-11435","WR","Dez","Dez Bryant","Bryant","10.311111450195312","9","7400","PHI@DAL","DAL","PHI","","","",""
"21947-6616","QB","Matt","Matt Ryan","Ryan","15.642222086588541","9","7400","ATL@SEA","ATL","SEA","","","",""
"21947-21980","WR","Alshon","Alshon Jeffery","Jeffery","11.222222222222221","9","7000","PHI@DAL","PHI","DAL","","","",""
"21947-46882","RB","Jay","Jay Ajayi","Ajayi","8.987500190734863","8","6900","PHI@DAL","PHI","DAL","","","",""
"21947-11512","TE","Jimmy","Jimmy Graham","Graham","10.11111111111111","9","6900","ATL@SEA","SEA","ATL","","","",""
"21947-24920","RB","Devonta","Devonta Freeman","Freeman","11.633332994249132","9","6100","ATL@SEA","ATL","SEA","D","Concussion","",""
"21947-22027","QB","Nick","Nick Foles","Foles","-0.44999998807907104","2","6000","PHI@DAL","PHI","DAL","","","",""
"21947-6679","QB","Matt","Matt Schaub","Schaub","0.14666666587193808","3","6000","ATL@SEA","ATL","SEA","","","",""
"21947-27801","QB","Nate","Nate Sudfeld","Sudfeld","0","0","6000","PHI@DAL","PHI","DAL","","","",""
"21947-39454","QB","Zac","Zac Dysert","Dysert","0","0","6000","PHI@DAL","DAL","PHI","IR","Back","",""
"21947-44715","QB","Cooper","Cooper Rush","Rush","1.3799999952316284","1","6000","PHI@DAL","DAL","PHI","","","",""
"21947-22848","QB","Austin","Austin Davis","Davis","-0.10000000149011612","1","6000","ATL@SEA","SEA","ATL","","","",""
