QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,DeAndre Hopkins (9725865),DeAndre Hopkins,9725865,WR,9200,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,RB,Ezekiel Elliott (9726083),Ezekiel Elliott,9726083,RB,9000,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,LeSean McCoy (9725635),LeSean McCoy,9725635,RB,8700,BUF@NYJ 11/02/2017 08:25PM ET,BUF,
,,,,,,,,,,RB,Kareem Hunt (9726128),Kareem Hunt,9726128,RB,8600,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,RB,Leonard Fournette (9726173),Leonard Fournette,9726173,RB,8400,CIN@JAX 11/05/2017 01:00PM ET,JAX,
,,,,,,,,,,QB,Deshaun Watson (9726183),Deshaun Watson,9726183,QB,8100,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,RB,Todd Gurley II (9726030),Todd Gurley II,9726030,RB,8100,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,WR,Julio Jones (9725688),Julio Jones,9725688,WR,7800,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,WR,Mike Evans (9725892),Mike Evans,9725892,WR,7700,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Mark Ingram (9725686),Mark Ingram,9725686,RB,7600,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,WR,A.J. Green (9725692),A.J. Green,9725692,WR,7400,CIN@JAX 11/05/2017 01:00PM ET,CIN,
,,,,,,,,,,QB,Russell Wilson (9725659),Russell Wilson,9725659,QB,7300,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,WR,Michael Thomas (9726004),Michael Thomas,9726004,WR,7200,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Will Fuller V (9726143),Will Fuller V,9726143,WR,7000,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,QB,Drew Brees (9725523),Drew Brees,9725523,QB,7000,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Doug Baldwin (9725644),Doug Baldwin,9725644,WR,6900,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,TE,Zach Ertz (9725752),Zach Ertz,9725752,TE,6800,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,TE,Travis Kelce (9725678),Travis Kelce,9725678,TE,6700,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,QB,Dak Prescott (9725874),Dak Prescott,9725874,QB,6700,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Tyreek Hill (9726181),Tyreek Hill,9726181,WR,6700,KC@DAL 11/05/2017 04:25PM ET,KC,
