Id,Position,Firstname,Nickname,Lastname,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21734-38791,RB,,Ezekiel Elliott,,20.78571429,7,8900,KC@DAL,DAL,KC,O,Suspension
21734-21939,QB,,Andrew Luck,,21.38000081,15,7400,IND@HOU,IND,HOU,O,Shoulder - labrum
21734-6748,QB,,Carson Palmer,,15.61714281,7,7000,ARI@SF,ARI,SF,IR,Arm
21734-11505,WR,,Emmanuel Sanders,,10.21999969,5,6500,DEN@PHI,DEN,PHI,Q,Ankle
21734-28434,QB,,Trevor Siemian,,14.80857195,7,6500,DEN@PHI,DEN,PHI,,
21734-6808,QB,,Matt Moore,,9.779999733,2,6400,OAK@MIA,MIA,OAK,,
21734-14267,QB,,Ryan Mallett,,4.96999979,2,6400,BAL@TEN,BAL,TEN,,
21734-14344,QB,,T.J. Yates,,0,0,6000,BUF@NYJ,BUF,NYJ,,
21734-24607,QB,,Chad Kelly,,0,0,6000,DEN@PHI,DEN,PHI,O,Wrist
21734-62497,RB,,David Johnson,,10,1,6000,ARI@SF,ARI,SF,IR,Wrist
21734-30761,QB,,Nathan Peterman,,0,0,6000,BUF@NYJ,BUF,NYJ,,
21734-31798,QB,,Bryce Petty,,6.543333054,6,6000,BUF@NYJ,NYJ,BUF,,
21734-30788,QB,,Tyler Bray,,0,0,6000,KC@DAL,KC,DAL,,
21734-57439,QB,,Patrick Mahomes II,,0,0,6000,KC@DAL,KC,DAL,,
21734-6373,QB,,Derek Anderson,,0.680000007,1,6000,ATL@CAR,CAR,ATL,,
21734-11500,QB,,Colt McCoy,,0,0,6000,WAS@SEA,WAS,SEA,,
21734-22848,QB,,Austin Davis,,-0.100000001,1,6000,WAS@SEA,SEA,WAS,,
21734-31047,QB,,AJ McCarron,,0,0,6000,CIN@JAC,CIN,JAC,,
21734-27982,QB,,Jake Rudock,,0,0,6000,DET@GB,DET,GB,,
21734-11615,QB,,Joe Webb,,0.114285716,7,6000,BUF@NYJ,BUF,NYJ,,
21734-14696,QB,,Scott Tolzien,,3.319999933,1,6000,IND@HOU,IND,HOU,,
21734-22894,QB,,Kellen Moore,,0,0,6000,KC@DAL,DAL,KC,,
21734-25969,QB,,Tom Savage,,-0.75999999,2,6000,IND@HOU,HOU,IND,,
21734-24949,QB,,EJ Manuel,,7.550000191,2,6000,OAK@MIA,OAK,MIA,,
21734-32158,QB,,Garrett Gilbert,,0,0,6000,ATL@CAR,CAR,ATL,,
21734-31170,QB,,Brandon Allen,,0,0,6000,LAR@NYG,LAR,NYG,,
21734-21959,QB,,Brandon Weeden,,0,0,6000,BAL@TEN,TEN,BAL,,
21734-7659,QB,,Ryan Fitzpatrick,,11.30000019,2,6000,TB@NO,TB,NO,,
21734-45565,QB,,Taysom Hill,,0,0,6000,TB@NO,NO,TB,,
21734-28163,QB,,Connor Cook,,7,1,6000,OAK@MIA,OAK,MIA,,
21734-22027,QB,,Nick Foles,,-0.200000003,1,6000,DEN@PHI,PHI,DEN,,
21734-6679,QB,,Matt Schaub,,0.146666666,3,6000,ATL@CAR,ATL,CAR,,
21734-39454,QB,,Zac Dysert,,0,0,6000,KC@DAL,DAL,KC,IR,Back
21734-23075,QB,,Alex Tanney,,0,0,6000,BAL@TEN,TEN,BAL,IR,Foot
21734-30253,QB,,Jeff Driskel,,0,0,6000,CIN@JAC,CIN,JAC,IR,Thumb
21734-7778,QB,,Matt Cassel,,2.24000001,2,6000,BAL@TEN,TEN,BAL,,
21734-8803,QB,,Chase Daniel,,0.639999986,1,6000,TB@NO,NO,TB,,
21734-7844,QB,,Chad Henne,,-0.300000012,1,6000,CIN@JAC,JAC,CIN,,
21734-44715,QB,,Cooper Rush,,1.379999995,1,6000,KC@DAL,DAL,KC,,
21734-33463,QB,,Paxton Lynch,,9.793333054,3,6000,DEN@PHI,DEN,PHI,,
21734-6914,TE,,Greg Olsen,,2.150000095,2,6000,ATL@CAR,CAR,ATL,IR,Foot
21734-41732,QB,,Christian Hackenberg,,0,0,6000,BUF@NYJ,NYJ,BUF,,
21734-29445,QB,,Sean Mannion,,-0.159999996,2,6000,LAR@NYG,LAR,NYG,,
21734-70446,QB,,Joe Callahan,,0,0,6000,DET@GB,GB,DET,,
21734-55140,QB,,Brad Kaaya,,0,0,6000,DET@GB,DET,GB,,
21734-14194,QB,,Blaine Gabbert,,13.19999949,6,6000,ARI@SF,ARI,SF,,
21734-26483,QB,,Geno Smith,,4.46999979,2,6000,LAR@NYG,NYG,LAR,,
21734-39795,QB,,Davis Webb,,0,0,6000,LAR@NYG,NYG,LAR,,
21734-30298,TE,,Jordan Reed,,7.766666412,6,5700,WAS@SEA,WAS,SEA,Q,Hamstring
21734-9371,RB,,Marshawn Lynch,,6.342857361,7,5600,OAK@MIA,OAK,MIA,,
21734-6607,WR,,Mike Wallace,,5.600000109,7,5500,BAL@TEN,BAL,TEN,Q,Concussion
21734-14362,TE,,Charles Clay,,9.559999847,5,5400,BUF@NYJ,BUF,NYJ,O,Knee
21734-38509,RB,,Wendell Smallwood,,5.53333346,6,5400,DEN@PHI,PHI,DEN,,
21734-29949,WR,,Marvin Hall,,10.5,1,5300,ATL@CAR,ATL,CAR,,
21734-54244,WR,,Kenny Golladay,,8.566666921,3,5300,DET@GB,DET,GB,Q,Hamstring
21734-24682,RB,,Andre Ellington,,7.433333079,6,5100,ARI@SF,ARI,SF,Q,Quadriceps
21734-9421,RB,,Danny Woodhead,,5.199999809,1,5000,BAL@TEN,BAL,TEN,IR,Hamstring
