Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week10,Primetime,9768292,Rob Gronkowski,TE,7600,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768264,Tom Brady,QB,7300,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768384,Christian McCaffrey,RB,7200,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768291,Cam Newton,QB,6600,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768287,Demaryius Thomas,WR,6500,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768336,Jarvis Landry,WR,6400,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768356,Brandin Cooks,WR,6300,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768344,DeVante Parker,WR,6200,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768368,Devin Funchess,WR,6100,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768334,Chris Hogan,WR,5800,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768274,Danny Amendola,WR,5500,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768285,Emmanuel Sanders,WR,5400,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768265,Jay Cutler,QB,5400,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768266,Derek Anderson,QB,5300,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768276,Brian Hoyer,QB,4900,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768366,Kenyan Drake,RB,4900,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768267,Matt Moore,QB,4800,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768363,Damien Williams,RB,4700,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768308,Brock Osweiler,QB,4600,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768321,Trevor Siemian,QB,4600,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768365,Paxton Lynch,QB,4600,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768270,Greg Olsen,TE,4600,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768328,James White,RB,4500,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768317,Kenny Stills,WR,4200,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768306,Dion Lewis,RB,4100,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768340,Phillip Dorsett,WR,4000,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768354,C.J. Anderson,RB,4000,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768362,Chad Kelly,QB,4000,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768311,Garrett Gilbert,QB,4000,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768316,David Fales,QB,4000,MIA@CAR 11/13/2017 08:30PM ET,MIA,,0.0,,
2017,Week10,Primetime,9768281,Jamaal Charles,RB,3900,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768352,Malcolm Mitchell,WR,3800,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768263,Panthers,DST,3800,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768378,Devontae Booker,RB,3700,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768380,Curtis Samuel,WR,3700,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768309,Rex Burkhead,RB,3600,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768262,Patriots,DST,3500,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768346,De'Angelo Henderson,RB,3500,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768314,Bennie Fowler,WR,3400,NE@DEN 11/12/2017 08:30PM ET,DEN,,0.0,,
2017,Week10,Primetime,9768312,Mike Gillislee,RB,3300,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Primetime,9768277,Ed Dickson,TE,3200,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
2017,Week10,Primetime,9768279,Jonathan Stewart,RB,3200,MIA@CAR 11/13/2017 08:30PM ET,CAR,,0.0,,
