Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week10,Full,21841-30447,Todd Gurley II,RB,9600,HOU@LAR,LAR,HOU,21.612499237060547,,
2017,Week10,Full,21841-28181,Le'Veon Bell,RB,9400,PIT@IND,PIT,IND,17.924999237060547,,
2017,Week10,Full,21841-11612,Antonio Brown,WR,9300,PIT@IND,PIT,IND,16.25,,
2017,Week10,Full,21841-38791,Ezekiel Elliott,RB,8900,DAL@ATL,DAL,ATL,20.100000381469727,,
2017,Week10,Full,21841-31716,Dak Prescott,QB,8800,DAL@ATL,DAL,ATL,22.02750015258789,,
2017,Week10,Full,21841-52922,Leonard Fournette,RB,8700,LAC@JAX,JAX,LAC,20.4499994913737,,
2017,Week10,Full,21841-6498,Tom Brady,QB,8500,NE@DEN,NE,DEN,20.55500030517578,,
2017,Week10,Full,21841-6504,Drew Brees,QB,8500,NO@BUF,NO,BUF,17.857500076293945,,
2017,Week10,Full,21841-14185,Cam Newton,QB,8400,MIA@CAR,CAR,MIA,18.246666802300346,,
2017,Week10,Full,21841-22015,Russell Wilson,QB,8300,SEA@ARI,SEA,ARI,23.412500381469727,,
2017,Week10,Full,21841-6779,LeSean McCoy,RB,8300,NO@BUF,BUF,NO,14.225000381469727,,
2017,Week10,Full,21841-6654,Matthew Stafford,QB,8200,CLE@DET,DET,CLE,17.65999984741211,,
2017,Week10,Full,21841-38435,Jared Goff,QB,8200,HOU@LAR,LAR,HOU,17.212499618530273,,
2017,Week10,Full,21841-11460,Rob Gronkowski,TE,8100,NE@DEN,NE,DEN,13.985714503696986,,
2017,Week10,Full,21841-14190,Julio Jones,WR,8000,DAL@ATL,ATL,DAL,11.662500381469727,Q,Lower leg
2017,Week10,Full,21841-14187,A.J. Green,WR,7900,CIN@TEN,CIN,TEN,12.412500381469727,,
2017,Week10,Full,21841-14377,Tyrod Taylor,QB,7800,NO@BUF,BUF,NO,16.764999389648438,,
2017,Week10,Full,21841-6616,Matt Ryan,QB,7700,DAL@ATL,ATL,DAL,15.647500038146973,,
2017,Week10,Full,21841-32384,Mike Evans,WR,7700,NYJ@TB,TB,NYJ,12.149999618530273,O,Suspension
2017,Week10,Full,21841-29358,Marcus Mariota,QB,7700,CIN@TEN,TEN,CIN,15.822857448032924,,
2017,Week10,Full,21841-16606,DeAndre Hopkins,WR,7600,HOU@LAR,HOU,LAR,17.837499618530273,,
2017,Week10,Full,21841-28900,Melvin Gordon,RB,7600,LAC@JAX,LAC,JAX,17.387500762939453,,
2017,Week10,Full,21841-24849,Jameis Winston,QB,7600,NYJ@TB,TB,NYJ,13.987500190734863,O,Shoulder
2017,Week10,Full,21841-6589,Ben Roethlisberger,QB,7600,PIT@IND,PIT,IND,13.797499656677246,,
2017,Week10,Full,21841-29501,Brandin Cooks,WR,7600,NE@DEN,NE,DEN,11.725000381469727,,
2017,Week10,Full,21841-28573,Michael Thomas,WR,7600,NO@BUF,NO,BUF,11.4375,,
2017,Week10,Full,21841-11435,Dez Bryant,WR,7500,DAL@ATL,DAL,ATL,10.862500190734863,Q,Ankle
2017,Week10,Full,21841-14626,Doug Baldwin,WR,7500,SEA@ARI,SEA,ARI,12.25,,
2017,Week10,Full,21841-22031,T.Y. Hilton,WR,7500,PIT@IND,IND,PIT,11.466666327582466,,
2017,Week10,Full,21841-22038,Kirk Cousins,QB,7500,MIN@WAS,WAS,MIN,18.047500610351562,,
2017,Week10,Full,21841-11485,Golden Tate,WR,7400,CLE@DET,DET,CLE,11.512499809265137,,
2017,Week10,Full,21841-6803,Josh McCown,QB,7400,NYJ@TB,NYJ,TB,16.13333299424913,,
2017,Week10,Full,21841-41872,Evan Engram,TE,7400,NYG@SF,NYG,SF,10.274999618530273,,
2017,Week10,Full,21841-34308,Blake Bortles,QB,7300,LAC@JAX,JAX,LAC,14.1225004196167,,
2017,Week10,Full,21841-29253,Keenan Allen,WR,7300,LAC@JAX,LAC,JAX,10.100000381469727,,
2017,Week10,Full,21841-7968,Philip Rivers,QB,7300,LAC@JAX,LAC,JAX,15.65250015258789,,
2017,Week10,Full,21841-42142,Jordan Howard,RB,7200,GB@CHI,CHI,GB,12.875,,
