Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week11,Main,21941-52922,Leonard Fournette,RB,9300,JAX@CLE,JAX,CLE,18.32857186453683,,
2017,Week11,Main,21941-70324,Carson Wentz,QB,8700,PHI@DAL,PHI,DAL,22.064444647894966,,
2017,Week11,Main,21941-30447,Todd Gurley II,RB,8700,LAR@MIN,LAR,MIN,21.055555555555557,,
2017,Week11,Main,21941-45229,Kareem Hunt,RB,8600,KC@NYG,KC,NYG,18.122222900390625,,
2017,Week11,Main,21941-6498,Tom Brady,QB,8600,NE@OAK,NE,OAK,20.786666870117188,,
2017,Week11,Main,21941-38791,Ezekiel Elliott,RB,8600,PHI@DAL,DAL,PHI,20.100000381469727,O,Suspension
2017,Week11,Main,21941-28573,Michael Thomas,WR,8600,WAS@NO,NO,WAS,11.966666327582466,,
2017,Week11,Main,21941-31716,Dak Prescott,QB,8500,PHI@DAL,DAL,PHI,21.051111857096355,,
2017,Week11,Main,21941-11460,Rob Gronkowski,TE,8200,NE@OAK,NE,OAK,13.412500381469727,,
2017,Week11,Main,21941-22038,Kirk Cousins,QB,8200,WAS@NO,WAS,NO,19.21777852376302,,
2017,Week11,Main,21941-14211,Mark Ingram,RB,8200,WAS@NO,NO,WAS,15.32222154405382,,
2017,Week11,Main,21941-6504,Drew Brees,QB,8100,WAS@NO,NO,WAS,17.42444525824653,,
2017,Week11,Main,21941-29780,Zach Ertz,TE,8000,PHI@DAL,PHI,DAL,13.537500381469727,Q,Hamstring
2017,Week11,Main,21941-6654,Matthew Stafford,QB,8000,DET@CHI,DET,CHI,18.215555826822918,,
2017,Week11,Main,21941-6779,LeSean McCoy,RB,8000,BUF@LAC,BUF,LAC,13.477778116861979,,
2017,Week11,Main,21941-45859,Derek Carr,QB,8000,NE@OAK,OAK,NE,15.632499694824219,,
2017,Week11,Main,21941-38435,Jared Goff,QB,7900,LAR@MIN,LAR,MIN,18.244444105360245,,
2017,Week11,Main,21941-8005,Alex Smith,QB,7900,KC@NYG,KC,NYG,21.117777506510418,,
2017,Week11,Main,21941-28900,Melvin Gordon,RB,7800,BUF@LAC,LAC,BUF,16.200000339084202,,
2017,Week11,Main,21941-32384,Mike Evans,WR,7800,TB@MIA,TB,MIA,12.149999618530273,,
2017,Week11,Main,21941-14187,A.J. Green,WR,7800,CIN@DEN,CIN,DEN,13.255555894639757,,
2017,Week11,Main,21941-16606,DeAndre Hopkins,WR,7700,ARI@HOU,HOU,ARI,17.47777811686198,,
2017,Week11,Main,21941-39716,Adam Thielen,WR,7700,LAR@MIN,MIN,LAR,12.933333502875435,,
2017,Week11,Main,21941-29501,Brandin Cooks,WR,7700,NE@OAK,NE,OAK,11.577777438693577,,
2017,Week11,Main,21941-14377,Tyrod Taylor,QB,7600,BUF@LAC,BUF,LAC,15.33999972873264,,
2017,Week11,Main,21941-11485,Golden Tate,WR,7600,DET@CHI,DET,CHI,12.311111450195312,,
2017,Week11,Main,21941-53681,Tyreek Hill,WR,7600,KC@NYG,KC,NYG,12.644444783528646,,
2017,Week11,Main,21941-42104,Alvin Kamara,RB,7500,WAS@NO,NO,WAS,14.88888888888889,,
2017,Week11,Main,21941-9392,Michael Crabtree,WR,7500,NE@OAK,OAK,NE,12.387499809265137,,
2017,Week11,Main,21941-24849,Jameis Winston,QB,7500,TB@MIA,TB,MIA,13.987500190734863,O,Shoulder - ac joint
2017,Week11,Main,21941-33076,Travis Kelce,TE,7500,KC@NYG,KC,NYG,13.233333163791233,,
2017,Week11,Main,21941-25079,Stefon Diggs,WR,7500,LAR@MIN,MIN,LAR,13.599999564034599,,
2017,Week11,Main,21941-34308,Blake Bortles,QB,7500,JAX@CLE,JAX,CLE,14.588889227973091,,
2017,Week11,Main,21941-42142,Jordan Howard,RB,7400,DET@CHI,CHI,DET,12.044444613986546,,
2017,Week11,Main,21941-11435,Dez Bryant,WR,7400,PHI@DAL,DAL,PHI,10.311111450195312,,
2017,Week11,Main,21941-7968,Philip Rivers,QB,7400,BUF@LAC,LAC,BUF,15.724444919162327,Q,Concussion
2017,Week11,Main,21941-41872,Evan Engram,TE,7400,KC@NYG,NYG,KC,10.477778116861979,,
2017,Week11,Main,21941-31001,Amari Cooper,WR,7300,NE@OAK,OAK,NE,9.288888719346788,,
2017,Week11,Main,21941-22994,Case Keenum,QB,7300,LAR@MIN,MIN,LAR,15.232500076293945,,
2017,Week11,Main,21941-29253,Keenan Allen,WR,7100,BUF@LAC,LAC,BUF,9.799999660915798,,
2017,Week11,Main,21941-14704,Chris Hogan,WR,7000,NE@OAK,NE,OAK,11.5,Q,Shoulder
2017,Week11,Main,21941-21980,Alshon Jeffery,WR,7000,PHI@DAL,PHI,DAL,11.222222222222221,,
2017,Week11,Main,21941-6748,Carson Palmer,QB,7000,ARI@HOU,ARI,HOU,15.617142813546318,IR,Arm
2017,Week11,Main,21941-6883,Larry Fitzgerald,WR,6900,ARI@HOU,ARI,HOU,12.633332994249132,,
2017,Week11,Main,21941-46882,Jay Ajayi,RB,6900,PHI@DAL,PHI,DAL,8.987500190734863,,
2017,Week11,Main,21941-29685,Robert Woods,WR,6900,LAR@MIN,LAR,MIN,11.655555725097656,,
2017,Week11,Main,21941-24891,Chris Thompson,RB,6800,WAS@NO,WAS,NO,13.566666497124565,,
2017,Week11,Main,21941-31394,Jarvis Landry,WR,6800,TB@MIA,MIA,TB,11.88888888888889,,
2017,Week11,Main,21941-14225,Andy Dalton,QB,6800,CIN@DEN,CIN,DEN,13.495555453830296,,
2017,Week11,Main,21941-11432,Demaryius Thomas,WR,6700,CIN@DEN,DEN,CIN,10.100000169542101,,
2017,Week11,Main,21941-22103,Marvin Jones Jr.,WR,6700,DET@CHI,DET,CHI,11.188888549804688,,
2017,Week11,Main,21941-45889,Davante Adams,WR,6700,BAL@GB,GB,BAL,11.822222391764322,,
2017,Week11,Main,21941-34331,Latavius Murray,RB,6600,LAR@MIN,MIN,LAR,5.611111111111111,,
2017,Week11,Main,21941-6703,Adrian Peterson,RB,6600,ARI@HOU,ARI,HOU,7.137499809265137,,
2017,Week11,Main,21941-6714,Joe Flacco,QB,6600,BAL@GB,BAL,GB,9.704444037543404,,
2017,Week11,Main,21941-6898,Jay Cutler,QB,6600,TB@MIA,MIA,TB,13.082500457763672,,
2017,Week11,Main,21941-33259,Teddy Bridgewater,QB,6500,LAR@MIN,MIN,LAR,0,,
