Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week11,Primetime,21947-70324,Carson Wentz,QB,8700,PHI@DAL,PHI,DAL,22.064444647894966,,
2017,Week11,Primetime,21947-38791,Ezekiel Elliott,RB,8600,PHI@DAL,DAL,PHI,20.100000381469727,O,Suspension
2017,Week11,Primetime,21947-31716,Dak Prescott,QB,8500,PHI@DAL,DAL,PHI,21.051111857096355,,
2017,Week11,Primetime,21947-22015,Russell Wilson,QB,8400,ATL@SEA,SEA,ATL,22.968889024522568,,
2017,Week11,Primetime,21947-14626,Doug Baldwin,WR,8100,ATL@SEA,SEA,ATL,12.222222222222221,Q,Groin
2017,Week11,Primetime,21947-29780,Zach Ertz,TE,8000,PHI@DAL,PHI,DAL,13.537500381469727,Q,Hamstring
2017,Week11,Primetime,21947-14190,Julio Jones,WR,7700,ATL@SEA,ATL,SEA,11.333333333333334,,
2017,Week11,Primetime,21947-11435,Dez Bryant,WR,7400,PHI@DAL,DAL,PHI,10.311111450195312,,
2017,Week11,Primetime,21947-6616,Matt Ryan,QB,7400,ATL@SEA,ATL,SEA,15.642222086588541,,
2017,Week11,Primetime,21947-21980,Alshon Jeffery,WR,7000,PHI@DAL,PHI,DAL,11.222222222222221,,
2017,Week11,Primetime,21947-46882,Jay Ajayi,RB,6900,PHI@DAL,PHI,DAL,8.987500190734863,,
2017,Week11,Primetime,21947-11512,Jimmy Graham,TE,6900,ATL@SEA,SEA,ATL,10.11111111111111,,
2017,Week11,Primetime,21947-24920,Devonta Freeman,RB,6100,ATL@SEA,ATL,SEA,11.633332994249132,D,Concussion
2017,Week11,Primetime,21947-22027,Nick Foles,QB,6000,PHI@DAL,PHI,DAL,-0.44999998807907104,,
2017,Week11,Primetime,21947-6679,Matt Schaub,QB,6000,ATL@SEA,ATL,SEA,0.14666666587193808,,
2017,Week11,Primetime,21947-27801,Nate Sudfeld,QB,6000,PHI@DAL,PHI,DAL,0,,
2017,Week11,Primetime,21947-39454,Zac Dysert,QB,6000,PHI@DAL,DAL,PHI,0,IR,Back
2017,Week11,Primetime,21947-44715,Cooper Rush,QB,6000,PHI@DAL,DAL,PHI,1.3799999952316284,,
2017,Week11,Primetime,21947-22848,Austin Davis,QB,6000,ATL@SEA,SEA,ATL,-0.10000000149011612,,
2017,Week11,Primetime,21947-22113,Alfred Morris,RB,6000,PHI@DAL,DAL,PHI,2.6142856052943637,,
2017,Week11,Primetime,21947-22894,Kellen Moore,QB,6000,PHI@DAL,DAL,PHI,0,,
2017,Week11,Primetime,21947-29683,Nelson Agholor,WR,6000,PHI@DAL,PHI,DAL,9.700000339084202,,
2017,Week11,Primetime,21947-27776,Tevin Coleman,RB,5900,ATL@SEA,ATL,SEA,10.299999660915798,,
2017,Week11,Primetime,21947-26610,Paul Richardson,WR,5900,ATL@SEA,SEA,ATL,9.866667005750868,,
2017,Week11,Primetime,21947-22018,Mohamed Sanu,WR,5700,ATL@SEA,ATL,SEA,8.850000381469727,,
2017,Week11,Primetime,21947-27050,Tyler Lockett,WR,5500,ATL@SEA,SEA,ATL,6.222222222222222,,
2017,Week11,Primetime,21947-40758,Corey Clement,RB,5400,PHI@DAL,PHI,DAL,7.757142748151507,,
2017,Week11,Primetime,21947-28095,Thomas Rawls,RB,5400,ATL@SEA,SEA,ATL,3.566666603088379,,
2017,Week11,Primetime,21947-6641,Jason Witten,TE,5400,PHI@DAL,DAL,PHI,8.311111450195312,,
