source,target,value
https://worldview.stratfor.com,Snapshots,15
https://worldview.stratfor.com,Reflections,14
https://worldview.stratfor.com,Stratfor,13
https://worldview.stratfor.com,Forecasts,10
https://worldview.stratfor.com,President,6
https://worldview.stratfor.com,Assessments,6
https://worldview.stratfor.com,Venezuela,5
https://worldview.stratfor.com,president,4
https://worldview.stratfor.com,political,4
https://worldview.stratfor.com,Situation,4
https://worldview.stratfor.com,elections,4
https://worldview.stratfor.com,continuously,3
https://worldview.stratfor.com,1-512-744-4300,3
https://worldview.stratfor.com,Afghanistan,3
https://worldview.stratfor.com,navigate,3
https://worldview.stratfor.com,regional,3
https://worldview.stratfor.com,environment,3
https://worldview.stratfor.com,understand,3
https://worldview.stratfor.com,STRATFOR,3
https://worldview.stratfor.com,changing,3
https://worldview.stratfor.com,Manchester,3
https://worldview.stratfor.com,Perspectives,3
https://worldview.stratfor.com,COMMITMENT,3
https://worldview.stratfor.com,confidently,3
https://worldview.stratfor.com,Challenging,2
https://worldview.stratfor.com,displays,2
https://worldview.stratfor.com,authorities,2
https://worldview.stratfor.com,discusses,2
https://worldview.stratfor.com,WORLDVIEW,2
https://worldview.stratfor.com,freedom-of-navigation,2
https://worldview.stratfor.com,activity,2
https://worldview.stratfor.com,constituent,2
https://worldview.stratfor.com,ANALYSES,2
https://worldview.stratfor.com,Asia-Pacific,2
https://worldview.stratfor.com,intelligence,2
https://worldview.stratfor.com,administration,2
https://worldview.stratfor.com,possible,2
https://worldview.stratfor.com,disputed,2
https://worldview.stratfor.com,scheduling,2
https://worldview.stratfor.com,tryaltering,2
https://worldview.stratfor.com,Analysis,2
https://worldview.stratfor.com,Quarterly,2
https://worldview.stratfor.com,development,2
https://worldview.stratfor.com,Approach,2
https://worldview.stratfor.com,tensions,2
https://worldview.stratfor.com,Colombia,2
https://worldview.stratfor.com,Election,2
https://worldview.stratfor.com,Conviction,2
https://worldview.stratfor.com,government,2
https://worldview.stratfor.com,Corporate,2
https://worldview.stratfor.com,assessments,2
https://worldview.stratfor.com,inciting,2
https://worldview.stratfor.com,Republic,2
https://worldview.stratfor.com,Washington,2
https://worldview.stratfor.com,challenges,2
https://worldview.stratfor.com,European,2
https://worldview.stratfor.com,conflict,2
https://worldview.stratfor.com,Palestinian,2
https://worldview.stratfor.com,assembly,2
https://worldview.stratfor.com,Conflict,2
https://worldview.stratfor.com,SECTIONS,2
https://worldview.stratfor.com,spelling,2
https://worldview.stratfor.com,seven-month,2
https://worldview.stratfor.com,controversy,2
https://worldview.stratfor.com,geopolitical,2
https://worldview.stratfor.com,prepared,2
https://worldview.stratfor.com,Presents,2
https://worldview.stratfor.com,bond-purchasing,1
https://worldview.stratfor.com,espionage,1
https://worldview.stratfor.com,advances,1
https://worldview.stratfor.com,Austerity,1
https://worldview.stratfor.com,prepares,1
https://worldview.stratfor.com,accounts,1
https://worldview.stratfor.com,proposed,1
https://worldview.stratfor.com,relationship,1
https://worldview.stratfor.com,watching,1
https://worldview.stratfor.com,measures,1
https://worldview.stratfor.com,deployment,1
https://worldview.stratfor.com,underlying,1
https://worldview.stratfor.com,multi-billion,1
https://worldview.stratfor.com,inevitable,1
https://worldview.stratfor.com,presidency,1
https://worldview.stratfor.com,milestone,1
https://worldview.stratfor.com,prioritize,1
https://worldview.stratfor.com,pressures,1
https://worldview.stratfor.com,Intentions,1
https://worldview.stratfor.com,celebrate,1
https://worldview.stratfor.com,Initiative,1
