Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,Andre Ellington,RB,3,ARI,DAL,5,22,4,0,8,5,59,0,0,0,13.10
2017,REG,2,Chris Johnson,RB,3,ARI,DAL,12,17,1,0,2,1,4,0,0,0,3.10
2017,REG,3,Kerwynn Williams,RB,3,ARI,DAL,1,3,3,0,0,0,0,0,0,0,0.30
2017,REG,4,Elijhaa Penny,RB,3,ARI,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Devonta Freeman,RB,3,ATL,DET,21,106,5,1,3,3,32,0,0,0,25.80
2017,REG,2,Tevin Coleman,RB,3,ATL,DET,6,46,8,0,5,3,43,0,0,0,11.90
2017,REG,3,Derrick Coleman,RB,3,ATL,DET,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Alex Collins,RB,3,BAL,JAX,9,82,9,0,0,0,0,0,0,0,8.20
2017,REG,2,Javorius Allen,RB,3,BAL,JAX,8,15,2,0,6,5,13,0,0,0,7.80
2017,REG,3,Terrance West,RB,3,BAL,JAX,6,26,4,0,1,0,0,0,1,1,1.60
2017,REG,1,LeSean McCoy,RB,3,BUF,DEN,14,21,2,0,7,7,48,0,0,0,13.90
2017,REG,2,Mike Tolbert,RB,3,BUF,DEN,11,41,4,0,1,0,0,0,0,0,4.10
2017,REG,3,Taiwan Jones,RB,3,BUF,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Patrick DiMarco,RB,3,BUF,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Christian McCaffrey,RB,3,CAR,NO,4,16,4,0,11,9,101,0,0,0,23.70
2017,REG,2,Jonathan Stewart,RB,3,CAR,NO,12,57,5,0,2,1,4,0,0,0,7.10
2017,REG,3,Fozzy Whittaker,RB,3,CAR,NO,2,12,6,0,0,0,0,0,0,0,1.20
2017,REG,4,Alex Armah,RB,3,CAR,NO,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jordan Howard,RB,3,CHI,PIT,23,138,6,2,5,5,26,0,1,1,35.40
2017,REG,2,Tarik Cohen,RB,3,CHI,PIT,12,78,7,0,4,4,24,0,1,0,14.20
2017,REG,3,Benjamin Cunningham,RB,3,CHI,PIT,0,0,0,0,3,3,23,0,0,0,5.30
2017,REG,4,Michael Burton,RB,3,CHI,PIT,0,0,0,0,1,0,0,0,0,0,0.00
2017,REG,1,Joe Mixon,RB,3,CIN,GB,18,62,3,0,3,3,39,0,0,0,13.10
2017,REG,2,Giovani Bernard,RB,3,CIN,GB,3,27,9,0,2,2,12,1,0,0,11.90
2017,REG,3,Jeremy Hill,RB,3,CIN,GB,7,23,3,0,1,1,6,0,0,0,3.90
2017,REG,1,Duke Johnson,RB,3,CLE,IND,2,23,12,1,7,6,81,0,0,0,22.40
2017,REG,2,Isaiah Crowell,RB,3,CLE,IND,12,44,4,0,3,2,10,0,0,0,7.40
2017,REG,3,Dan Vitale,RB,3,CLE,IND,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Matt Dayes,RB,3,CLE,IND,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Ezekiel Elliott,RB,3,DAL,ARI,22,80,4,1,4,3,14,0,0,0,18.40
2017,REG,2,Keith Smith,RB,3,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Rod Smith,RB,3,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jamaal Charles,RB,3,DEN,BUF,9,56,6,1,1,1,1,0,0,0,12.70
2017,REG,2,CJ Anderson,RB,3,DEN,BUF,8,36,5,0,2,2,7,0,0,0,6.30
2017,REG,3,Andy Janovich,RB,3,DEN,BUF,1,2,2,0,0,0,0,0,0,0,0.20
2017,REG,4,De'Angelo Henderson,RB,3,DEN,BUF,1,1,1,0,0,0,0,0,0,0,0.10
2017,REG,1,Ameer Abdullah,RB,3,DET,ATL,14,47,3,0,3,3,39,0,0,0,11.60
2017,REG,2,Theo Riddick,RB,3,DET,ATL,0,0,0,0,9,4,38,0,0,0,7.80
2017,REG,3,Zach Zenner,RB,3,DET,ATL,3,5,2,0,0,0,0,0,0,0,0.50
