Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,Larry Fitzgerald,WR,3,ARI,DAL,15,13,87,149,1,37,10,12,0,0,0,0,0,36.90
2017,REG,2,Jaron Brown,WR,3,ARI,DAL,6,2,33,27,1,25,5,14,0,0,0,0,0,10.70
2017,REG,3,Brittan Golden,WR,3,ARI,DAL,3,1,33,21,0,21,7,21,0,0,0,0,0,3.10
2017,REG,4,Chad Williams,WR,3,ARI,DAL,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
2017,REG,5,Ifeanyi Momah,WR,3,ARI,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,JJ Nelson,WR,3,ARI,DAL,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Taylor Gabriel,WR,3,ATL,DET,6,5,83,79,1,40,13,16,0,0,0,0,0,18.90
2017,REG,2,Julio Jones,WR,3,ATL,DET,12,7,58,91,0,18,8,13,0,0,0,0,0,16.10
2017,REG,3,Mohamed Sanu,WR,3,ATL,DET,6,4,67,28,1,12,5,7,0,0,0,0,0,12.80
2017,REG,4,Andre Roberts,WR,3,ATL,DET,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20
2017,REG,5,Justin Hardy,WR,3,ATL,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Mike Wallace,WR,3,BAL,JAX,5,1,20,6,0,6,1,6,1,4,0,0,0,2.00
2017,REG,2,Michael Campanaro,WR,3,BAL,JAX,2,1,50,3,0,3,2,3,1,7,0,0,0,2.00
2017,REG,3,Jeremy Maclin,WR,3,BAL,JAX,5,1,20,8,0,8,2,8,0,0,0,0,0,1.80
2017,REG,4,Chris Matthews,WR,3,BAL,JAX,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
2017,REG,5,Breshad Perriman,WR,3,BAL,JAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Vince Mayle,WR,3,BAL,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Chris Moore,WR,3,BAL,JAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jordan Matthews,WR,3,BUF,DEN,5,3,60,61,0,28,12,20,0,0,0,0,0,9.10
2017,REG,2,Andre Holmes,WR,3,BUF,DEN,2,2,100,6,1,4,3,3,0,0,0,0,0,8.60
2017,REG,3,Kaelin Clay,WR,3,BUF,DEN,2,1,50,28,0,28,14,28,0,0,0,0,0,3.80
2017,REG,4,Brandon Tate,WR,3,BUF,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Zay Jones,WR,3,BUF,DEN,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Devin Funchess,WR,3,CAR,NO,10,4,40,58,0,21,6,15,0,0,0,0,0,9.80
2017,REG,2,Curtis Samuel,WR,3,CAR,NO,5,2,40,5,0,7,1,3,1,31,0,0,0,5.60
2017,REG,3,Kelvin Benjamin,WR,3,CAR,NO,2,2,100,8,0,4,4,4,0,0,0,0,0,2.80
2017,REG,4,Russell Shepard,WR,3,CAR,NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Damiere Byrd,WR,3,CAR,NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Deonte Thompson,WR,3,CHI,PIT,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90
2017,REG,2,Kendall Wright,WR,3,CHI,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Josh Bellamy,WR,3,CHI,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Markus Wheaton,WR,3,CHI,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,AJ Green,WR,3,CIN,GB,13,10,77,111,1,20,9,11,0,0,0,0,0,30.10
2017,REG,2,Tyler Boyd,WR,3,CIN,GB,1,1,100,11,0,11,11,11,0,0,0,0,0,2.10
2017,REG,3,Brandon LaFell,WR,3,CIN,GB,2,1,50,5,0,5,3,5,0,0,0,0,0,1.50
2017,REG,4,Cody Core,WR,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Alex Erickson,WR,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Kenny Britt,WR,3,CLE,IND,10,3,30,54,1,38,5,18,0,0,0,0,0,14.40
2017,REG,2,Jordan Leslie,WR,3,CLE,IND,1,1,100,26,0,26,26,26,0,0,0,0,0,3.60
2017,REG,3,Rashard Higgins,WR,3,CLE,IND,6,2,33,10,0,9,2,5,0,0,0,0,0,3.00
2017,REG,4,Kasen Williams,WR,3,CLE,IND,2,1,50,10,0,10,5,10,0,0,0,0,0,2.00
2017,REG,5,Ricardo Louis,WR,3,CLE,IND,6,1,17,10,0,10,2,10,0,0,0,0,0,2.00
2017,REG,1,Brice Butler,WR,3,DAL,ARI,2,2,100,90,1,53,45,45,0,0,0,0,0,17.00
2017,REG,2,Dez Bryant,WR,3,DAL,ARI,2,2,100,12,1,15,6,6,0,0,0,0,0,9.20
2017,REG,3,Terrance Williams,WR,3,DAL,ARI,4,3,75,47,0,22,12,16,0,0,0,0,0,7.70
2017,REG,4,Noah Brown,WR,3,DAL,ARI,1,1,100,13,0,13,13,13,0,0,0,0,0,2.30
2017,REG,5,Cole Beasley,WR,3,DAL,ARI,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40
2017,REG,6,Ryan Switzer,WR,3,DAL,ARI,0,0,0,0,0,0,0,0,1,3,0,0,0,0.30
2017,REG,1,Demaryius Thomas,WR,3,DEN,BUF,9,6,67,98,0,29,11,16,0,0,0,0,0,15.80
2017,REG,2,Emmanuel Sanders,WR,3,DEN,BUF,15,7,47,75,0,29,5,11,0,0,0,0,0,14.50
2017,REG,3,Bennie Fowler,WR,3,DEN,BUF,7,4,57,55,0,20,8,14,0,0,0,0,0,9.50
2017,REG,4,Isaiah McKenzie,WR,3,DEN,BUF,0,0,0,0,0,0,0,0,1,4,0,0,0,0.40
2017,REG,5,Cody Latimer,WR,3,DEN,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Golden Tate,WR,3,DET,ATL,11,7,64,58,1,18,5,8,0,0,0,0,0,18.80
2017,REG,2,TJ Jones,WR,3,DET,ATL,3,3,100,63,0,29,21,21,0,0,0,0,0,9.30
2017,REG,3,Marvin Jones,WR,3,DET,ATL,6,3,50,24,0,12,4,8,0,0,0,0,0,5.40
2017,REG,4,Kenny Golladay,WR,3,DET,ATL,5,2,40,25,0,13,5,13,0,0,0,0,0,4.50
2017,REG,5,Jared Abbrederis,WR,3,DET,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
