Year,Season,Rk,Player,Pos,Week,Team,Opp,TFL,Sacks,QBHits,Int,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,FantasyPts
2017,REG,1,Arizona Cardinals,DST,2,ARI,IND,9,4,9,1,0,0,0,0,13,10.00
2017,REG,2,Arizona Cardinals,DST,1,ARI,DET,5,1,4,1,0,0,1,0,35,8.00
2017,REG,1,Atlanta Falcons,DST,2,ATL,GB,3,3,7,1,1,0,1,0,23,13.00
2017,REG,2,Atlanta Falcons,DST,1,ATL,CHI,6,4,10,0,0,0,0,0,17,5.00
2017,REG,1,Baltimore Ravens,DST,1,BAL,CIN,8,5,5,4,1,0,0,0,0,25.00
2017,REG,2,Baltimore Ravens,DST,2,BAL,CLE,4,3,9,4,1,0,0,0,10,17.00
2017,REG,1,Buffalo Bills,DST,2,BUF,CAR,12,6,7,0,0,0,0,0,9,10.00
2017,REG,2,Buffalo Bills,DST,1,BUF,NYJ,2,1,5,2,0,0,0,0,12,9.00
2017,REG,1,Carolina Panthers,DST,1,CAR,SF,3,4,9,1,1,0,0,0,3,15.00
2017,REG,2,Carolina Panthers,DST,2,CAR,BUF,6,3,6,0,0,0,0,0,3,10.00
2017,REG,1,Chicago Bears,DST,2,CHI,TB,4,2,6,0,1,0,0,0,29,4.00
2017,REG,2,Chicago Bears,DST,1,CHI,ATL,4,2,5,0,0,0,0,0,23,2.00
2017,REG,1,Cincinnati Bengals,DST,2,CIN,HOU,6,3,5,0,0,0,0,0,13,7.00
2017,REG,2,Cincinnati Bengals,DST,1,CIN,BAL,6,1,3,1,0,0,0,0,20,4.00
2017,REG,1,Cleveland Browns,DST,2,CLE,BAL,10,2,4,1,1,0,0,0,24,6.00
2017,REG,2,Cleveland Browns,DST,1,CLE,PIT,1,1,1,1,1,0,0,0,21,5.00
2017,REG,1,Dallas Cowboys,DST,1,DAL,NYG,5,3,4,1,0,0,0,0,3,12.00
2017,REG,2,Dallas Cowboys,DST,2,DAL,DEN,5,2,4,1,1,0,0,0,42,2.00
2017,REG,1,Denver Broncos,DST,2,DEN,DAL,4,2,7,2,0,0,1,0,17,13.00
2017,REG,2,Denver Broncos,DST,1,DEN,LAC,5,1,6,1,0,0,0,0,21,5.00
2017,REG,1,Detroit Lions,DST,2,DET,NYG,8,5,8,1,0,0,0,1,10,17.00
2017,REG,2,Detroit Lions,DST,1,DET,ARI,3,1,7,3,1,0,1,0,23,16.00
2017,REG,1,Green Bay Packers,DST,1,GB,SEA,9,3,7,0,1,0,0,0,9,9.00
2017,REG,2,Green Bay Packers,DST,2,GB,ATL,4,3,7,0,0,0,0,0,34,2.00
2017,REG,1,Houston Texans,DST,2,HOU,CIN,6,3,4,0,1,0,0,0,9,9.00
2017,REG,2,Houston Texans,DST,1,HOU,JAX,3,0,3,0,0,0,0,0,29,0.00
2017,REG,1,Indianapolis Colts,DST,2,IND,ARI,7,4,9,1,0,0,0,0,16,7.00
2017,REG,2,Indianapolis Colts,DST,1,IND,LAR,4,1,4,0,1,0,0,0,46,2.00
2017,REG,1,Jacksonville Jaguars,DST,1,JAX,HOU,12,10,15,1,3,0,1,0,7,28.00
2017,REG,2,Jacksonville Jaguars,DST,2,JAX,TEN,3,1,2,1,0,0,0,0,37,-1.00
2017,REG,1,Kansas City Chiefs,DST,2,KC,PHI,10,6,11,1,1,0,0,0,20,11.00
2017,REG,2,Kansas City Chiefs,DST,1,KC,NE,6,3,6,0,0,0,0,0,27,3.00
2017,REG,1,Los Angeles Chargers,DST,1,LAC,DEN,5,4,9,1,1,0,0,0,24,8.00
2017,REG,2,Los Angeles Chargers,DST,2,LAC,MIA,10,2,3,0,0,0,0,0,19,3.00
2017,REG,1,Los Angeles Rams,DST,1,LAR,IND,9,4,5,2,1,1,2,0,9,28.00
2017,REG,2,Los Angeles Rams,DST,2,LAR,WAS,5,2,5,0,0,0,0,0,27,2.00
2017,REG,1,Miami Dolphins,DST,2,MIA,LAC,5,1,5,0,0,0,0,0,17,2.00
2017,REG,1,Minnesota Vikings,DST,1,MIN,NO,3,1,3,0,0,0,0,0,19,2.00
2017,REG,2,Minnesota Vikings,DST,2,MIN,PIT,4,2,5,0,0,0,0,0,26,2.00
2017,REG,1,New England Patriots,DST,2,NE,NO,3,1,7,0,0,0,0,0,20,2.00
2017,REG,2,New England Patriots,DST,1,NE,KC,4,3,4,0,1,0,0,0,42,1.00
2017,REG,1,New Orleans Saints,DST,1,NO,MIN,6,1,2,0,0,0,0,0,29,0.00
2017,REG,2,New Orleans Saints,DST,2,NO,NE,4,2,5,0,0,0,0,0,36,-2.00
2017,REG,1,New York Giants,DST,2,NYG,DET,8,3,5,0,1,0,0,0,24,5.00
2017,REG,2,New York Giants,DST,1,NYG,DAL,5,1,3,0,0,0,0,0,19,2.00
2017,REG,1,New York Jets,DST,1,NYJ,BUF,6,2,5,1,0,0,0,0,21,4.00
2017,REG,2,New York Jets,DST,2,NYJ,OAK,5,0,0,0,0,0,0,0,45,-4.00
2017,REG,1,Oakland Raiders,DST,2,OAK,NYJ,8,4,5,0,2,0,0,0,20,9.00
2017,REG,2,Oakland Raiders,DST,1,OAK,TEN,3,1,4,0,0,0,0,0,16,2.00
2017,REG,1,Philadelphia Eagles,DST,1,PHI,WAS,8,4,8,1,3,0,1,0,17,22.00
2017,REG,2,Philadelphia Eagles,DST,2,PHI,KC,7,4,9,0,0,0,0,0,27,4.00
2017,REG,1,Pittsburgh Steelers,DST,1,PIT,CLE,8,7,8,1,0,0,0,1,18,18.00
2017,REG,2,Pittsburgh Steelers,DST,2,PIT,MIN,4,2,8,0,1,0,0,0,9,8.00
2017,REG,1,Seattle Seahawks,DST,2,SEA,SF,4,2,4,1,0,0,0,0,9,8.00
2017,REG,2,Seattle Seahawks,DST,1,SEA,GB,5,4,9,1,0,0,0,0,17,7.00
2017,REG,1,San Francisco 49ers,DST,2,SF,SEA,6,3,10,0,0,0,0,0,12,7.00
2017,REG,2,San Francisco 49ers,DST,1,SF,CAR,2,0,2,1,1,0,0,0,23,4.00
2017,REG,1,Tampa Bay Buccaneers,DST,2,TB,CHI,8,1,8,2,2,0,1,0,7,19.00
2017,REG,1,Tennessee Titans,DST,2,TEN,JAX,4,2,6,2,1,0,0,0,16,9.00
2017,REG,2,Tennessee Titans,DST,1,TEN,OAK,3,2,3,0,0,0,0,0,26,2.00
2017,REG,1,Washington Redskins,DST,1,WAS,PHI,5,2,9,1,1,0,1,0,30,12.00
2017,REG,2,Washington Redskins,DST,2,WAS,LAR,3,2,5,1,1,0,0,0,20,7.00
