Year,Season,Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QBRating,Att,Yds,Yds/Att,TD,FantasyPts
2017,REG,1,Carson Palmer,QB,2,ARI,IND,19,36,53,332,9,1,1,82,3,6,2,0,19.88
2017,REG,2,Carson Palmer,QB,1,ARI,DET,27,48,56,268,6,1,3,53,1,2,2,0,11.92
2017,REG,1,Matt Ryan,QB,1,ATL,CHI,21,30,70,321,11,1,0,116,3,11,4,0,20.94
2017,REG,2,Matt Ryan,QB,2,ATL,GB,19,28,68,252,9,1,0,108,1,8,8,0,14.88
2017,REG,3,Matt Schaub,QB,1,ATL,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Joe Flacco,QB,2,BAL,CLE,25,34,74,217,6,2,1,97,1,-1,-1,0,15.58
2017,REG,2,Joe Flacco,QB,1,BAL,CIN,9,17,53,121,7,1,1,71,0,0,0,0,7.84
2017,REG,1,Tyrod Taylor,QB,1,BUF,NYJ,16,28,57,224,8,2,1,92,8,38,5,0,19.76
2017,REG,2,Tyrod Taylor,QB,2,BUF,CAR,17,25,68,125,5,0,0,80,8,55,7,0,10.50
2017,REG,3,Joe Webb,QB,1,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Joe Webb,QB,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Cam Newton,QB,1,CAR,SF,14,25,56,171,7,2,1,87,6,3,1,0,14.14
2017,REG,2,Cam Newton,QB,2,CAR,BUF,20,32,63,228,7,0,0,84,5,27,5,0,11.82
2017,REG,1,Mike Glennon,QB,2,CHI,TB,31,45,69,301,7,1,2,76,0,0,0,0,16.04
2017,REG,2,Mike Glennon,QB,1,CHI,ATL,26,40,65,213,5,1,0,87,0,0,0,0,12.52
2017,REG,3,Mitch Trubisky,QB,1,CHI,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Andy Dalton,QB,2,CIN,HOU,20,35,57,224,6,0,0,76,2,5,3,0,9.46
2017,REG,2,Andy Dalton,QB,1,CIN,BAL,16,31,52,170,6,0,4,28,1,2,2,0,2.00
