Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,David Johnson,RB,1,ARI,DET,11,23,2,0,9,6,67,0,2,1,14.00
2017,REG,2,Kerwynn Williams,RB,1,ARI,DET,5,10,2,1,1,1,2,0,0,0,8.20
2017,REG,3,Andre Ellington,RB,1,ARI,DET,0,0,0,0,3,2,35,0,0,0,5.50
2017,REG,4,Andre Ellington,RB,2,ARI,IND,2,11,6,0,5,3,12,0,0,0,5.30
2017,REG,5,Chris Johnson,RB,2,ARI,IND,11,44,4,0,0,0,0,0,0,0,4.40
2017,REG,6,Kerwynn Williams,RB,2,ARI,IND,9,22,2,0,0,0,0,0,0,0,2.20
2017,REG,7,Elijhaa Penny,RB,1,ARI,DET,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Elijhaa Penny,RB,2,ARI,IND,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Devonta Freeman,RB,2,ATL,GB,19,84,4,2,2,2,16,0,0,0,24.00
2017,REG,2,Tevin Coleman,RB,2,ATL,GB,6,42,7,0,2,2,3,1,0,0,12.50
2017,REG,3,Devonta Freeman,RB,1,ATL,CHI,12,37,3,1,2,2,2,0,0,0,11.90
2017,REG,4,Tevin Coleman,RB,1,ATL,CHI,8,16,2,0,6,4,42,0,0,0,9.80
2017,REG,5,Derrick Coleman,RB,1,ATL,CHI,0,0,0,0,1,0,0,0,0,0,0.00
2017,REG,6,Terron Ward,RB,1,ATL,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Derrick Coleman,RB,2,ATL,GB,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Terron Ward,RB,2,ATL,GB,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Javorius Allen,RB,2,BAL,CLE,14,66,5,0,6,5,35,1,0,0,21.10
2017,REG,2,Terrance West,RB,1,BAL,CIN,19,80,4,1,1,0,0,0,0,0,14.00
2017,REG,3,Terrance West,RB,2,BAL,CLE,8,22,3,1,2,2,23,0,0,0,12.50
2017,REG,4,Javorius Allen,RB,1,BAL,CIN,21,71,3,0,1,0,0,0,0,0,7.10
2017,REG,5,Danny Woodhead,RB,1,BAL,CIN,1,4,4,0,3,3,33,0,0,0,6.70
2017,REG,6,Alex Collins,RB,2,BAL,CLE,7,42,6,0,0,0,0,0,1,1,3.20
2017,REG,1,LeSean McCoy,RB,1,BUF,NYJ,22,110,5,0,6,5,49,0,0,0,23.90
2017,REG,2,Mike Tolbert,RB,1,BUF,NYJ,12,42,4,1,1,1,12,0,0,0,12.40
2017,REG,3,LeSean McCoy,RB,2,BUF,CAR,12,9,1,0,7,6,34,0,0,0,10.30
2017,REG,4,Mike Tolbert,RB,2,BUF,CAR,3,5,2,0,1,1,2,0,0,0,1.70
2017,REG,5,Patrick DiMarco,RB,1,BUF,NYJ,0,0,0,0,1,1,5,0,0,0,1.50
2017,REG,6,Taiwan Jones,RB,1,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Joe Banyard,RB,1,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Taiwan Jones,RB,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Patrick DiMarco,RB,2,BUF,CAR,0,0,0,0,1,0,0,0,0,0,0.00
2017,REG,1,Jonathan Stewart,RB,1,CAR,SF,18,65,4,0,2,2,17,1,0,0,16.20
2017,REG,2,Christian McCaffrey,RB,1,CAR,SF,13,47,4,0,7,5,38,0,1,1,12.50
2017,REG,3,Christian McCaffrey,RB,2,CAR,BUF,8,10,1,0,5,4,34,0,0,0,8.40
2017,REG,4,Jonathan Stewart,RB,2,CAR,BUF,15,40,3,0,1,0,0,0,0,0,4.00
2017,REG,5,Fozzy Whittaker,RB,1,CAR,SF,1,1,1,0,0,0,0,0,0,0,0.10
2017,REG,6,Fozzy Whittaker,RB,2,CAR,BUF,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Tarik Cohen,RB,1,CHI,ATL,5,66,13,0,12,8,47,1,0,0,25.30
2017,REG,2,Jordan Howard,RB,1,CHI,ATL,13,52,4,1,5,3,14,0,0,0,15.60
2017,REG,3,Tarik Cohen,RB,2,CHI,TB,7,13,2,0,9,8,55,0,1,1,13.80
2017,REG,4,Michael Burton,RB,1,CHI,ATL,1,7,7,0,0,0,0,0,0,0,0.70
2017,REG,5,Jordan Howard,RB,2,CHI,TB,9,7,1,0,1,0,0,0,0,0,0.70
2017,REG,6,Benjamin Cunningham,RB,1,CHI,ATL,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Michael Burton,RB,2,CHI,TB,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Giovani Bernard,RB,1,CIN,BAL,7,40,6,0,2,1,39,0,0,0,8.90
2017,REG,2,Joe Mixon,RB,1,CIN,BAL,8,9,1,0,3,3,15,0,0,0,5.40
2017,REG,3,Joe Mixon,RB,2,CIN,HOU,9,36,4,0,1,1,5,0,0,0,5.10
2017,REG,4,Giovani Bernard,RB,2,CIN,HOU,5,10,2,0,4,2,16,0,0,0,4.60
2017,REG,5,Jeremy Hill,RB,1,CIN,BAL,6,26,4,0,1,1,-2,0,0,0,3.40
2017,REG,6,Jeremy Hill,RB,2,CIN,HOU,6,17,3,0,1,1,2,0,0,0,2.90
2017,REG,1,Duke Johnson,RB,2,CLE,BAL,4,21,5,0,6,3,59,0,0,0,11.00
2017,REG,2,Isaiah Crowell,RB,1,CLE,PIT,17,33,2,0,2,2,33,0,0,0,10.60
2017,REG,3,Duke Johnson,RB,1,CLE,PIT,0,0,0,0,5,2,20,0,0,0,4.00
2017,REG,4,Isaiah Crowell,RB,2,CLE,BAL,10,37,4,0,1,0,0,0,0,0,3.70
2017,REG,5,Matt Dayes,RB,1,CLE,PIT,3,7,2,0,2,2,9,0,0,0,3.60
2017,REG,6,Dan Vitale,RB,1,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0.00
