Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,Jermaine Gresham,TE,1,ARI,DET,4,3,75,15,0,11,4,5,0,0,0,0,0,4.50
2017,REG,2,Troy Niklas,TE,2,ARI,IND,1,1,100,16,0,16,16,16,0,0,0,0,0,2.60
2017,REG,3,Troy Niklas,TE,1,ARI,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Jim Dray,TE,2,ARI,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Austin Hooper,TE,1,ATL,CHI,2,2,100,128,1,88,64,64,0,0,0,0,0,23.80
2017,REG,2,Austin Hooper,TE,2,ATL,GB,2,2,100,7,0,4,4,4,0,0,0,0,0,2.70
2017,REG,3,Levine Toilolo,TE,1,ATL,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Eric Saubert,TE,1,ATL,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Levine Toilolo,TE,2,ATL,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Eric Saubert,TE,2,ATL,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Benjamin Watson,TE,2,BAL,CLE,8,8,100,91,0,23,11,11,0,0,0,0,0,17.10
2017,REG,2,Maxx Williams,TE,2,BAL,CLE,4,4,100,21,0,13,5,5,1,2,0,0,0,6.30
2017,REG,3,Nick Boyle,TE,1,BAL,CIN,1,1,100,14,0,14,14,14,0,0,0,0,0,2.40
2017,REG,4,Nick Boyle,TE,2,BAL,CLE,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90
2017,REG,5,Maxx Williams,TE,1,BAL,CIN,1,1,100,5,0,5,5,5,0,0,0,0,0,1.50
2017,REG,6,Benjamin Watson,TE,1,BAL,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Charles Clay,TE,1,BUF,NYJ,9,4,44,53,1,35,6,13,0,0,0,0,0,15.30
2017,REG,2,Charles Clay,TE,2,BUF,CAR,3,3,100,23,0,12,8,8,0,0,0,1,0,5.30
2017,REG,3,Nick O'Leary,TE,1,BUF,NYJ,2,1,50,22,0,22,11,22,0,0,0,0,0,3.20
2017,REG,4,Logan Thomas,TE,1,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Logan Thomas,TE,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Nick O'Leary,TE,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Ed Dickson,TE,2,CAR,BUF,3,2,67,26,0,20,9,13,0,0,0,0,0,4.60
2017,REG,2,Greg Olsen,TE,1,CAR,SF,4,2,50,18,0,17,5,9,0,0,0,0,0,3.80
2017,REG,3,Greg Olsen,TE,2,CAR,BUF,2,1,50,10,0,10,5,10,0,0,0,0,0,2.00
2017,REG,4,Ed Dickson,TE,1,CAR,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Chris Manhertz,TE,1,CAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Chris Manhertz,TE,2,CAR,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Zach Miller,TE,2,CHI,TB,9,6,67,42,0,12,5,7,0,0,0,0,0,10.20
2017,REG,2,Zach Miller,TE,1,CHI,ATL,6,4,67,39,0,12,7,10,0,0,0,0,0,7.90
2017,REG,3,Dion Sims,TE,1,CHI,ATL,3,2,67,31,0,22,10,16,0,0,0,0,0,5.10
2017,REG,4,Adam Shaheen,TE,1,CHI,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Dion Sims,TE,2,CHI,TB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Adam Shaheen,TE,2,CHI,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Tyler Eifert,TE,2,CIN,HOU,4,3,75,42,0,22,11,14,0,0,0,0,0,7.20
2017,REG,2,Tyler Kroft,TE,1,CIN,BAL,1,1,100,5,0,5,5,5,0,0,0,0,0,1.50
2017,REG,3,Tyler Eifert,TE,1,CIN,BAL,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40
2017,REG,4,Ryan Hewitt,TE,1,CIN,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Cethan Carter,TE,1,CIN,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Ryan Hewitt,TE,2,CIN,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Tyler Kroft,TE,2,CIN,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Cethan Carter,TE,2,CIN,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,David Njoku,TE,2,CLE,BAL,4,3,75,27,1,23,7,9,0,0,0,0,0,11.70
2017,REG,2,Seth DeValve,TE,1,CLE,PIT,5,4,80,42,0,21,8,11,0,0,0,0,0,8.20
2017,REG,3,Seth DeValve,TE,2,CLE,BAL,4,2,50,61,0,49,15,31,0,0,0,0,0,8.10
2017,REG,4,David Njoku,TE,1,CLE,PIT,2,2,100,20,0,13,10,10,0,0,0,0,0,4.00
2017,REG,5,Randall Telfer,TE,2,CLE,BAL,1,1,100,20,0,20,20,20,0,0,0,0,0,3.00
2017,REG,6,Randall Telfer,TE,1,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jason Witten,TE,2,DAL,DEN,13,10,77,97,1,28,8,10,0,0,0,0,0,25.70
2017,REG,2,Jason Witten,TE,1,DAL,NYG,9,7,78,59,1,12,7,8,0,0,0,0,0,18.90
2017,REG,3,James Hanna,TE,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Geoff Swaim,TE,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,James Hanna,TE,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Geoff Swaim,TE,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Virgil Green,TE,2,DEN,DAL,3,2,67,11,1,9,4,6,0,0,0,0,0,9.10
2017,REG,2,AJ Derby,TE,1,DEN,LAC,3,3,100,34,0,13,11,11,0,0,0,0,0,6.40
2017,REG,3,Virgil Green,TE,1,DEN,LAC,1,1,100,44,0,44,44,44,0,0,0,0,0,5.40
2017,REG,4,Jeff Heuerman,TE,1,DEN,LAC,2,1,50,20,0,20,10,20,0,0,0,0,0,3.00
2017,REG,5,Jeff Heuerman,TE,2,DEN,DAL,1,1,100,15,0,15,15,15,0,0,0,0,0,2.50
2017,REG,6,AJ Derby,TE,2,DEN,DAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Eric Ebron,TE,2,DET,NYG,5,5,100,42,1,17,8,8,0,0,0,0,0,15.20
2017,REG,2,Eric Ebron,TE,1,DET,ARI,3,2,67,9,0,5,3,5,0,0,0,0,0,2.90
2017,REG,3,Darren Fells,TE,2,DET,NYG,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30
2017,REG,4,Darren Fells,TE,1,DET,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Michael Roberts,TE,1,DET,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Michael Roberts,TE,2,DET,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Martellus Bennett,TE,2,GB,ATL,11,5,46,47,0,18,4,9,0,0,0,0,0,9.70
2017,REG,2,Martellus Bennett,TE,1,GB,SEA,6,3,50,43,0,26,7,14,0,0,0,0,0,7.30
2017,REG,3,Richard Rodgers,TE,2,GB,ATL,4,2,50,22,0,14,6,11,0,0,0,0,0,4.20
2017,REG,4,Lance Kendricks,TE,1,GB,SEA,4,2,50,18,0,9,5,9,0,0,0,0,0,3.80
2017,REG,5,Richard Rodgers,TE,1,GB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Lance Kendricks,TE,2,GB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,CJ Fiedorowicz,TE,1,HOU,JAX,4,4,100,46,0,15,12,12,0,0,0,0,0,8.60
2017,REG,2,Stephen Anderson,TE,1,HOU,JAX,5,2,40,14,0,11,3,7,0,0,0,0,0,3.40
2017,REG,3,Ryan Griffin,TE,1,HOU,JAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Evan Baylis,TE,2,HOU,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jack Doyle,TE,2,IND,ARI,8,8,100,79,0,15,10,10,0,0,0,0,0,15.90
2017,REG,2,Jack Doyle,TE,1,IND,LAR,3,2,67,41,0,21,14,21,0,0,0,0,0,6.10
2017,REG,3,Brandon Williams,TE,2,IND,ARI,1,1,100,20,0,20,20,20,0,0,0,0,0,3.00
2017,REG,4,Brandon Williams,TE,1,IND,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Darrell Daniels,TE,1,IND,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Darrell Daniels,TE,2,IND,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,James O'Shaughnessy,TE,1,JAX,HOU,1,1,100,18,0,18,18,18,0,0,0,0,0,2.80
2017,REG,2,Marcedes Lewis,TE,1,JAX,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Ben Koyack,TE,1,JAX,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Marcedes Lewis,TE,2,JAX,TEN,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,James O'Shaughnessy,TE,2,JAX,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Ben Koyack,TE,2,JAX,TEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Travis Kelce,TE,2,KC,PHI,10,8,80,103,1,44,10,13,0,0,0,0,0,27.30
2017,REG,2,Demetrius Harris,TE,1,KC,NE,2,2,100,15,1,8,8,8,0,0,0,0,0,9.50
2017,REG,3,Travis Kelce,TE,1,KC,NE,7,5,71,40,0,14,6,8,1,4,0,0,0,9.40
2017,REG,4,Ross Travis,TE,1,KC,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Demetrius Harris,TE,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Ross Travis,TE,2,KC,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Hunter Henry,TE,2,LAC,MIA,7,7,100,80,0,17,11,11,0,0,0,0,0,15.00
2017,REG,2,Antonio Gates,TE,2,LAC,MIA,4,2,50,11,1,7,3,6,0,0,0,0,0,9.10
2017,REG,3,Antonio Gates,TE,1,LAC,DEN,3,2,67,17,0,11,6,9,0,0,0,0,0,3.70
2017,REG,4,Sean McGrath,TE,2,LAC,MIA,1,1,100,10,0,10,10,10,0,0,0,0,0,2.00
2017,REG,5,Hunter Henry,TE,1,LAC,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Sean Culkin,TE,1,LAC,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Gerald Everett,TE,2,LAR,WAS,3,3,100,95,0,69,32,32,0,0,0,0,0,12.50
2017,REG,2,Gerald Everett,TE,1,LAR,IND,1,1,100,39,0,39,39,39,0,0,0,0,0,4.90
2017,REG,3,Tyler Higbee,TE,1,LAR,IND,3,2,67,17,0,9,6,9,0,0,0,0,0,3.70
2017,REG,4,Derek Carrier,TE,1,LAR,IND,2,1,50,12,0,12,6,12,0,0,0,0,0,2.20
2017,REG,5,Derek Carrier,TE,2,LAR,WAS,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90
2017,REG,6,Tyler Higbee,TE,2,LAR,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Julius Thomas,TE,2,MIA,LAC,3,3,100,26,0,11,9,9,0,0,0,0,0,5.60
2017,REG,2,Anthony Fasano,TE,2,MIA,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,MarQueis Gray,TE,2,MIA,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Kyle Rudolph,TE,1,MIN,NO,3,3,100,26,1,15,9,9,0,0,0,0,0,11.60
