Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,JJ Nelson,WR,2,ARI,IND,7,5,71,120,1,45,17,24,0,0,0,0,0,26.00
2017,REG,2,JJ Nelson,WR,1,ARI,DET,6,5,83,43,1,14,7,9,0,0,0,0,0,15.30
2017,REG,3,Larry Fitzgerald,WR,1,ARI,DET,13,6,46,74,0,33,6,12,0,0,0,0,0,13.40
2017,REG,4,Jaron Brown,WR,2,ARI,IND,11,4,36,73,0,22,7,18,0,0,0,0,0,11.30
2017,REG,5,John Brown,WR,1,ARI,DET,9,4,44,32,0,12,4,8,1,10,0,0,0,8.20
2017,REG,6,Ifeanyi Momah,WR,2,ARI,IND,2,1,50,46,0,46,23,46,0,0,0,0,0,5.60
2017,REG,7,Larry Fitzgerald,WR,2,ARI,IND,6,3,50,21,0,10,4,7,0,0,0,0,0,5.10
2017,REG,8,Brittan Golden,WR,2,ARI,IND,2,1,50,29,0,29,15,29,0,0,0,0,0,3.90
2017,REG,9,Chad Williams,WR,2,ARI,IND,2,1,50,15,0,15,8,15,0,0,0,0,0,2.50
2017,REG,10,Ifeanyi Momah,WR,1,ARI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,11,Jaron Brown,WR,1,ARI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,12,Brittan Golden,WR,1,ARI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Julio Jones,WR,2,ATL,GB,9,5,56,108,0,34,12,22,0,0,0,0,0,18.80
2017,REG,2,Mohamed Sanu,WR,2,ATL,GB,6,5,83,85,0,24,14,17,0,0,0,0,0,13.50
2017,REG,3,Mohamed Sanu,WR,1,ATL,CHI,9,6,67,47,0,15,5,8,0,0,0,0,0,10.70
2017,REG,4,Julio Jones,WR,1,ATL,CHI,5,4,80,66,0,25,13,17,0,0,0,0,0,10.60
2017,REG,5,Taylor Gabriel,WR,1,ATL,CHI,4,3,75,36,0,18,9,12,0,0,0,0,0,6.60
2017,REG,6,Taylor Gabriel,WR,2,ATL,GB,3,2,67,14,0,12,5,7,1,7,0,0,0,4.10
2017,REG,7,Justin Hardy,WR,2,ATL,GB,2,1,50,19,0,19,10,19,0,0,0,0,0,2.90
2017,REG,8,Andre Roberts,WR,1,ATL,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Justin Hardy,WR,1,ATL,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Andre Roberts,WR,2,ATL,GB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jeremy Maclin,WR,1,BAL,CIN,4,2,50,56,1,48,14,28,0,0,0,0,0,13.60
2017,REG,2,Jeremy Maclin,WR,2,BAL,CLE,5,4,80,31,1,19,6,8,0,0,0,0,0,13.10
2017,REG,3,Mike Wallace,WR,1,BAL,CIN,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
2017,REG,4,Mike Wallace,WR,2,BAL,CLE,3,1,33,7,0,7,2,7,0,0,0,0,0,1.70
2017,REG,5,Breshad Perriman,WR,1,BAL,CIN,4,1,25,5,0,5,1,5,0,0,0,0,0,1.50
2017,REG,6,Michael Campanaro,WR,2,BAL,CLE,0,0,0,0,0,0,0,0,1,5,0,0,0,0.50
2017,REG,7,Michael Campanaro,WR,1,BAL,CIN,0,0,0,0,0,0,0,0,1,2,0,1,0,0.20
2017,REG,8,Chris Matthews,WR,1,BAL,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Vince Mayle,WR,1,BAL,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Chris Moore,WR,1,BAL,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,11,Chris Matthews,WR,2,BAL,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,12,Breshad Perriman,WR,2,BAL,CLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,13,Vince Mayle,WR,2,BAL,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jordan Matthews,WR,1,BUF,NYJ,3,2,67,61,0,47,20,31,0,0,0,0,0,8.10
2017,REG,2,Andre Holmes,WR,1,BUF,NYJ,1,1,100,1,1,1,1,1,0,0,0,0,0,7.10
2017,REG,3,Jordan Matthews,WR,2,BUF,CAR,3,3,100,30,0,15,10,10,0,0,0,0,0,6.00
2017,REG,4,Andre Holmes,WR,2,BUF,CAR,4,2,50,18,0,9,5,9,0,0,0,0,0,3.80
2017,REG,5,Zay Jones,WR,2,BUF,CAR,6,2,33,18,0,12,3,9,0,0,0,0,0,3.80
2017,REG,6,Zay Jones,WR,1,BUF,NYJ,4,1,25,21,0,21,5,21,0,0,0,0,0,3.10
2017,REG,7,Brandon Tate,WR,1,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Kaelin Clay,WR,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00
2017,REG,1,Kelvin Benjamin,WR,2,CAR,BUF,8,6,75,77,0,18,10,13,0,0,0,0,0,13.70
2017,REG,2,Russell Shepard,WR,1,CAR,SF,2,2,100,53,1,40,27,27,0,0,0,0,0,13.30
2017,REG,3,Devin Funchess,WR,2,CAR,BUF,6,4,67,68,0,24,11,17,0,0,0,0,0,10.80
2017,REG,4,Devin Funchess,WR,1,CAR,SF,2,2,100,20,0,16,10,10,0,0,0,0,0,4.00
2017,REG,5,Kelvin Benjamin,WR,1,CAR,SF,5,1,20,25,0,25,5,25,0,0,0,0,0,3.50
2017,REG,6,Curtis Samuel,WR,2,CAR,BUF,3,2,67,7,0,8,2,4,0,0,0,0,0,2.70
2017,REG,7,Russell Shepard,WR,2,CAR,BUF,2,1,50,6,0,6,3,6,0,0,0,0,0,1.60
2017,REG,8,Damiere Byrd,WR,1,CAR,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Curtis Samuel,WR,1,CAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Damiere Byrd,WR,2,CAR,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Deonte Thompson,WR,2,CHI,TB,5,4,80,57,1,20,11,14,0,0,0,0,0,15.70
2017,REG,2,Kendall Wright,WR,2,CHI,TB,10,7,70,69,0,18,7,10,0,0,0,0,0,13.90
2017,REG,3,Josh Bellamy,WR,2,CHI,TB,7,4,57,51,0,17,7,13,0,0,0,0,0,9.10
2017,REG,4,Kendall Wright,WR,1,CHI,ATL,4,3,75,34,0,16,9,11,0,0,0,0,0,6.40
2017,REG,5,Josh Bellamy,WR,1,CHI,ATL,4,3,75,27,0,14,7,9,0,0,0,0,0,5.70
2017,REG,6,Tanner Gentry,WR,2,CHI,TB,3,2,67,27,0,15,9,14,0,0,0,0,0,4.70
2017,REG,7,Kevin White,WR,1,CHI,ATL,4,2,50,6,0,6,2,3,0,0,0,0,0,2.60
2017,REG,8,Deonte Thompson,WR,1,CHI,ATL,2,1,50,15,0,15,8,15,0,0,0,1,0,2.50
2017,REG,9,Daniel Brown,WR,1,CHI,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Tre McBride,WR,2,CHI,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,11,Daniel Brown,WR,2,CHI,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,AJ Green,WR,1,CIN,BAL,10,5,50,74,0,27,7,15,0,0,0,0,0,12.40
2017,REG,2,AJ Green,WR,2,CIN,HOU,8,5,63,67,0,50,8,13,0,0,0,0,0,11.70
2017,REG,3,Alex Erickson,WR,2,CIN,HOU,6,4,67,62,0,37,10,16,1,2,0,0,0,10.40
2017,REG,4,Brandon LaFell,WR,2,CIN,HOU,7,4,57,30,0,12,4,8,0,0,0,0,0,7.00
2017,REG,5,Brandon LaFell,WR,1,CIN,BAL,5,3,60,24,0,13,5,8,0,0,0,0,0,5.40
2017,REG,6,Tyler Boyd,WR,1,CIN,BAL,4,1,25,11,0,11,3,11,0,0,0,0,0,2.10
2017,REG,7,John Ross,WR,2,CIN,HOU,0,0,0,0,0,0,0,0,1,12,0,1,1,0.20
2017,REG,8,Cody Core,WR,1,CIN,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Alex Erickson,WR,1,CIN,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Cody Core,WR,2,CIN,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Rashard Higgins,WR,2,CLE,BAL,11,7,64,95,0,35,9,14,1,4,0,0,0,16.90
2017,REG,2,Corey Coleman,WR,1,CLE,PIT,6,5,83,53,1,23,9,11,0,0,0,0,0,16.30
2017,REG,3,Ricardo Louis,WR,1,CLE,PIT,3,2,67,32,0,29,11,16,0,0,0,0,0,5.20
2017,REG,4,Ricardo Louis,WR,2,CLE,BAL,2,2,100,27,0,24,14,14,0,0,0,0,0,4.70
2017,REG,5,Kenny Britt,WR,1,CLE,PIT,3,1,33,13,0,13,4,13,0,0,0,0,0,2.30
2017,REG,6,Corey Coleman,WR,2,CLE,BAL,7,1,14,9,0,9,1,9,0,0,0,0,0,1.90
2017,REG,7,Kenny Britt,WR,2,CLE,BAL,2,1,50,2,0,2,1,2,0,0,0,0,0,1.20
2017,REG,8,Sammie Coates,WR,1,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Kasen Williams,WR,1,CLE,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Sammie Coates,WR,2,CLE,BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Dez Bryant,WR,2,DAL,DEN,16,7,44,59,1,15,4,8,0,0,0,0,0,18.90
2017,REG,2,Terrance Williams,WR,1,DAL,NYG,7,6,86,68,0,23,10,11,0,0,0,0,0,12.80
2017,REG,3,Cole Beasley,WR,2,DAL,DEN,8,4,50,33,0,10,4,8,0,0,0,0,0,7.30
2017,REG,4,Dez Bryant,WR,1,DAL,NYG,9,2,22,43,0,35,5,22,0,0,0,0,0,6.30
2017,REG,5,Cole Beasley,WR,1,DAL,NYG,5,3,60,32,0,13,6,11,0,0,0,0,0,6.20
2017,REG,6,Terrance Williams,WR,2,DAL,DEN,5,4,80,17,0,6,3,4,0,0,0,0,0,5.70
2017,REG,7,Brice Butler,WR,1,DAL,NYG,3,1,33,30,0,30,10,30,0,0,0,0,0,4.00
2017,REG,8,Brice Butler,WR,2,DAL,DEN,2,1,50,18,0,18,9,18,0,0,0,0,0,2.80
2017,REG,9,Ryan Switzer,WR,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Ryan Switzer,WR,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,11,Noah Brown,WR,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Emmanuel Sanders,WR,2,DEN,DAL,8,6,75,62,2,25,8,10,0,0,0,0,0,24.20
2017,REG,2,Bennie Fowler,WR,1,DEN,LAC,4,3,75,21,2,10,5,7,0,0,0,0,0,17.10
2017,REG,3,Demaryius Thomas,WR,2,DEN,DAL,8,6,75,71,0,27,9,12,0,0,0,0,0,13.10
2017,REG,4,Demaryius Thomas,WR,1,DEN,LAC,8,5,63,67,0,29,8,13,0,0,0,0,0,11.70
2017,REG,5,Emmanuel Sanders,WR,1,DEN,LAC,6,3,50,26,0,20,4,9,0,0,0,0,0,5.60
2017,REG,6,Cody Latimer,WR,2,DEN,DAL,2,2,100,22,0,13,11,11,0,0,0,1,0,4.20
2017,REG,7,Bennie Fowler,WR,2,DEN,DAL,3,1,33,8,0,8,3,8,0,0,0,0,0,1.80
2017,REG,8,Cody Latimer,WR,1,DEN,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Isaiah McKenzie,WR,1,DEN,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Isaiah McKenzie,WR,2,DEN,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Golden Tate,WR,1,DET,ARI,12,10,83,107,0,19,9,11,2,7,0,0,0,24.40
2017,REG,2,Kenny Golladay,WR,1,DET,ARI,7,4,57,69,2,45,10,17,0,0,0,0,0,22.90
2017,REG,3,Marvin Jones,WR,1,DET,ARI,2,2,100,37,1,31,19,19,0,0,0,0,0,11.70
2017,REG,4,Marvin Jones,WR,2,DET,NYG,5,1,20,27,1,27,5,27,0,0,0,0,0,9.70
2017,REG,5,Golden Tate,WR,2,DET,NYG,4,4,100,25,0,10,6,6,0,0,0,0,0,6.50
2017,REG,6,TJ Jones,WR,1,DET,ARI,4,2,50,32,0,16,8,16,0,0,0,0,0,5.20
2017,REG,7,Kenny Golladay,WR,2,DET,NYG,3,1,33,8,0,8,3,8,0,0,0,0,0,1.80
2017,REG,8,TJ Jones,WR,2,DET,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Davante Adams,WR,2,GB,ATL,10,8,80,99,1,33,10,12,0,0,0,0,0,23.90
2017,REG,2,Jordy Nelson,WR,1,GB,SEA,8,7,88,79,1,32,10,11,0,0,0,0,0,20.90
2017,REG,3,Randall Cobb,WR,1,GB,SEA,13,9,69,85,0,29,7,9,0,0,0,0,0,17.50
2017,REG,4,Randall Cobb,WR,2,GB,ATL,9,6,67,60,0,18,7,10,1,10,0,0,0,13.00
2017,REG,5,Davante Adams,WR,1,GB,SEA,7,3,43,47,0,21,7,16,0,0,0,0,0,7.70
2017,REG,6,Geronimo Allison,WR,2,GB,ATL,5,3,60,24,0,13,5,8,0,0,0,0,0,5.40
2017,REG,7,Trevor Davis,WR,2,GB,ATL,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90
2017,REG,8,Jeff Janis,WR,1,GB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Trevor Davis,WR,1,GB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Jordy Nelson,WR,2,GB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,11,Jeff Janis,WR,2,GB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,DeAndre Hopkins,WR,1,HOU,JAX,16,7,44,55,1,12,3,8,0,0,0,0,0,18.50
2017,REG,2,DeAndre Hopkins,WR,2,HOU,CIN,13,7,54,73,0,25,6,10,0,0,0,0,0,14.30
2017,REG,3,Braxton Miller,WR,2,HOU,CIN,3,2,67,10,0,8,3,5,0,0,0,0,0,3.00
2017,REG,4,Bruce Ellington,WR,1,HOU,JAX,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Braxton Miller,WR,1,HOU,JAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Andy Jones,WR,1,HOU,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Jaelen Strong,WR,2,HOU,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,TY Hilton,WR,2,IND,ARI,6,4,67,49,0,16,8,12,0,0,0,0,0,8.90
2017,REG,2,TY Hilton,WR,1,IND,LAR,7,3,43,57,0,32,8,19,0,0,0,1,1,7.70
2017,REG,3,Kamar Aiken,WR,2,IND,ARI,9,3,33,31,0,14,3,10,0,0,0,0,0,6.10
2017,REG,4,Donte Moncrief,WR,1,IND,LAR,4,1,25,50,0,50,13,50,0,0,0,0,0,6.00
2017,REG,5,Donte Moncrief,WR,2,IND,ARI,8,2,25,18,0,15,2,9,0,0,0,0,0,3.80
2017,REG,6,Kamar Aiken,WR,1,IND,LAR,2,1,50,3,0,3,2,3,0,0,0,0,0,1.30
2017,REG,7,Matt Hazel,WR,1,IND,LAR,1,1,100,1,0,1,1,1,0,0,0,0,0,1.10
2017,REG,8,Quan Bray,WR,1,IND,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Quan Bray,WR,2,IND,ARI,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00
2017,REG,1,Allen Hurns,WR,2,JAX,TEN,7,6,86,82,1,20,12,14,0,0,0,0,0,20.20
2017,REG,2,Marqise Lee,WR,2,JAX,TEN,12,7,58,76,0,19,6,11,0,0,0,0,0,14.60
2017,REG,3,Allen Hurns,WR,1,JAX,HOU,4,3,75,42,0,20,11,14,0,0,0,0,0,7.20
2017,REG,4,Keelan Cole,WR,2,JAX,TEN,3,2,67,13,0,11,4,7,0,0,0,1,0,3.30
2017,REG,5,Allen Robinson,WR,1,JAX,HOU,1,1,100,17,0,17,17,17,0,0,0,0,0,2.70
2017,REG,6,Arrelious Benn,WR,1,JAX,HOU,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20
2017,REG,7,Marqise Lee,WR,1,JAX,HOU,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Keelan Cole,WR,1,JAX,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Arrelious Benn,WR,2,JAX,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Maxwell McCaffrey,WR,2,JAX,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Tyreek Hill,WR,1,KC,NE,8,7,88,133,1,75,17,19,2,5,0,1,0,29.80
